code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,active_listening.l,active_learning.l,critical_thinking.l,monitoring.l,complex_problem_solving.l,time_management.l,social_perceptiveness.l,judgment_and_decision.l,systems_evaluation.l,programming.l,operations_analysis.l,problem_sensitivity.l,fluency_of_ideas.l,originality.l,deductive_reasoning.l,inductive_reasoning.l,information_ordering.l,written_expression.l,oral_expression.l,oral_comprehension.l,written_comprehension.l,freedom_to_make_decisions.l,installation.l,equipment_selection.l,equipment_maintenance.l,troubleshooting.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,visual_color_discrimination.l,exposed_to_hazardous_conditions.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,basic.science.l,therapy_and_counseling.l,medicine_and_dentistry.l,chemistry.l,biology.l,psychology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,exposed_to_radiation.l,physical_proximity.l,consequence_of_error.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,management_of_financial_resources.l,management_of_material_resources.l,management_of_personal_resources.l,coordination.l,administration_and_management.l,personnel_and_human_resources.l,responsibility_for_outcomes_and_results.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,resolving_conflicts_and_negotiating_with_others.l,coaching_and_developing_others.l,coordinating_the_work_and_activities_of_others.l,developing_and_building_teams.l,guiding_directing_and_motivating_subordinates.l,training_and_teaching_others.l,scheduling_work_and_activities.l,service_orientation.l,speech_recognition.l,face_to_face_discussions.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,coordinate_or_lead_others.l,deal_with_external_customers.l,work_with_work_group_or_team.l,frequency_of_decision_making.l,identifying_objectives_actions_and_events.l,getting_information.l,monitoring_processes_materials_or_surroundings.l,interpreting_the_meaning_of_information_for_others.l,providing_consultation_and_advice_to_others.l,analysing_data_or_information.l,evaluating_information_to_determine_compliance_with_standards.l,judging_the_qualities_of_objects_services_or_people.l,processing_information.l,developing_objectives_and_strategies.l,making_decisions_and_solving_problems.l,organizing_planning_and_prioritizing_work.l,thinking_creatively.l,updating_and_using_relevant_knowledge.l,documenting_recording_information.l,working_with_computers.l,negotiation.l,persuasion.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,level_of_competition.l,communicating_with_people_outside_the_organization.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,operations_monitoring.l,operation_and_control.l,time_sharing.l,selective_attention.l,explosive_strength.l,response_orientation.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,auditory_attention.l,hearing_sensitivity.l,far_vision.l,depth_perception.l,administrative.l,computers_and_electronics.l,electronic_mail.l,time_pressure.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,performing_administrative_activities.l,quality_control_analysis.l,technology_design.l,visualization.l,telecommunications.l,building_and_construction.l,engineering_and_technology.l,mechanical.l,design.l,public_safety_and_security.l,production_and_processing.l,physics.l,spent_time_climbing_ladders_scaffolds_or_poles.l,inspecting_equipment_structures_or_materials.l,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment.l,basic.mathematics.l,systems_analysis.l,category_flexibility.l,perceptual_speed.l,flexibility_of_closure.l,speed_of_closure.l,number_facility.l,mathematical_reasoning.l,memorization.l,mathematics.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,sounds_noise_levels_are_distracting_or_uncomfortable.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,wear_specialized_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,learning_strategies.l,instructing.l,speech_clarity.l,english_language.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,education_and_training.l,geography.l,sociology_and_anthropology.l,public_speaking.l,dynamic_flexibility.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,responsible_for_others_health_and_safety.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,cramped_work_space_awkward_positions.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
51-8013,28960,9653.333333333334,Hydroelectric Plant Technicians,3,Manufacturing,High school diploma or equivalent,Long-term on-the-job training,80850,Decline,45,45,46,54,45,37,39,48,41,21,16,56.99999999999999,41,37,52,52,50,43,48,59,52,73,0,43,54,52,54,46,43,32,46,87,54,84,32,22,26,53,26,37,9,25,11,77,77,46,28.999999999999996,28.999999999999996,28.999999999999996,20,21,42,46,81,67,69,85,43,81,70,51,59,16,20,36,43,36,32,57.99999999999999,41,25,51,56.99999999999999,52,46,45,54,60,32,43,90,85,79,47,44,70,46,81,78,51,47,69,45,56.00000000000001,50,59,54,57.99999999999999,41,65,72,62,75,63,49,34,37,21,35,11,57.99999999999999,38,42,27,56.99999999999999,52,41,54,27,36,50,46,39,48,50,45,45,39,34,53,85,71,86,80,39,45,21,48,38,65,63,84,61,62,42,64,45,69,55.00000000000001,48,37,46,52,48,41,43,41,39,66,36,81,81,92,78,100,52,49,90,86,37,41,43,49,23,16,0,31,54,35,23,21,9,36,50,36,36,41,46,36,0,82,55.00000000000001,46,54,52,77,60,70,63,81
51-8013,28960,9653.333333333334,Power Plant Operators,3,Manufacturing,High school diploma or equivalent,Long-term on-the-job training,80850,Decline,45,43,52,48,43,39,39,45,30,11,13,52,39,39,50,48,46,43,56.99999999999999,56.99999999999999,46,82,7.000000000000001,32,43,45,45,45,43,25,39,95,42,55.00000000000001,27,0,0,40,12,11,6,6,11,51,88,41,27,27,18,11,11,18,24,71,84,79,41,40,91,77,67,43,11,11,34,43,30,23,55.00000000000001,25,14.000000000000002,38,54,45,36,37,53,44,37,41,93,81,88,32,49,65,36,78,76,59,52,70,40,44,45,57.99999999999999,47,59,30,56.99999999999999,50,49,66,53,55.00000000000001,23,28.999999999999996,13,21,0,39,32,18,18,56.99999999999999,54,43,52,7.000000000000001,39,45,39,43,41,45,39,43,41,32,42,73,62,85,69,35,45,14.000000000000002,45,20,0,32,48,17,38,34,42,25,67,28.000000000000004,27,32,43,52,45,32,30,28.999999999999996,25,44,37,73,88,97,83,100,46,46,76,66,34,37,43,35,0,0,0,17,41,0,0,21,0,28.999999999999996,39,28.999999999999996,32,28.999999999999996,32,30,28.999999999999996,84,42,18,26,39,59,50,46,51,63
51-8021,29820,29820,Stationary Engineers and Boiler Operators,1,Architecture & Construction,High school diploma or equivalent,Long-term on-the-job training,63500,Average,43,37,45,45,43,43,30,43,43,0,25,46,32,30,43,43,43,43,48,54,46,80,18,32,43,48,50,43,43,23,41,89,56.00000000000001,68,30,10,0,41,12,17,13,26,10,60,70,35,20,18,25,5,16,12,17,56.99999999999999,87,80,26,17,81,73,49,45,7.000000000000001,18,37,39,42,18,56.00000000000001,48,14.000000000000002,40,46,50,39,34,49,59,30,41,81,88,89,43,55.00000000000001,72,30,83,77,63,55.00000000000001,79,46,48,60,59,47,66,57.99999999999999,70,72,64,65,59,53,30,30,12,25,0,48,33,26,22,50,46,36,48,0,28.999999999999996,46,43,43,45,45,41,36,39,31,36,71,56.99999999999999,71,69,39,45,16,39,12,34,43,65,23,38,46,37,39,68,36,21,43,43,55.00000000000001,39,32,21,21,30,43,32,74,99,98,74,92,48,50,83,68,30,39,39,42,0,0,0,0,48,11,0,19,0,28.999999999999996,41,28.999999999999996,39,25,30,23,23,80,57.99999999999999,22,53,52,60,61,44,84,60
51-8031,121150,121150,Water and Wastewater Treatment Plant and System Operators,1,"Agriculture, Food & Natural Resources",High school diploma or equivalent,Long-term on-the-job training,47880,Decline,45,45,46,54,43,45,41,43,43,9,11,56.99999999999999,43,36,48,46,45,45,55.00000000000001,56.99999999999999,50,87,0,37,46,46,46,43,43,28.999999999999996,41,86,50,64,30,0,0,67,59,28.000000000000004,6,27,1,50,79,47,25,14.000000000000002,23,13,13,18,15,47,59,40,60,43,80,75,56.00000000000001,45,11,14.000000000000002,34,45,41,31,54,50,30,50,46,52,39,46,48,52,32,43,93,89,78,35,38,59,51,75,78,75,62,77,57.99999999999999,42,60,78,53,73,47,67,56.99999999999999,64,74,61,50,27,28.999999999999996,24,53,8,49,46,52,23,54,46,39,45,9,43,45,45,43,43,36,30,43,43,47,56.99999999999999,74,70,83,73,47,48,13,41,20,37,52,64,35,59,56.00000000000001,54,22,70,34,43,37,45,46,43,34,39,43,32,60,32,49,88,82,64,89,44,50,73,65,39,41,45,40,0,0,0,23,60,39,12,16,0,32,39,32,30,25,37,28.999999999999996,23,75,28.000000000000004,25,21,26,59,48,45,37,57.99999999999999
51-8091,21740,21740,Chemical Plant and System Operators,1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,70200,Little or no change,54,43,54,54,45,43,37,43,39,14.000000000000002,28.999999999999996,54,30,30,54,52,52,43,55.00000000000001,54,52,80,0,28.999999999999996,39,37,39,45,43,32,39,99,0,51,41,0,9,62,13,16,5,8,5,64,78,20,16,14.000000000000002,25,9,11,20,17,57.99999999999999,77,68,48,35,94,89,79,27,16,20,39,39,28.999999999999996,28.000000000000004,65,28.999999999999996,0,28.999999999999996,28.000000000000004,38,21,21,48,22,30,45,100,90,84,44,35,70,17,78,92,56.99999999999999,65,66,28.000000000000004,27,43,52,30,43,0,46,37,0,56.00000000000001,47,38,30,30,7.000000000000001,41,21,43,0,0,0,64,55.00000000000001,41,54,14.000000000000002,30,54,41,45,50,48,39,50,30,22,36,64,78,87,76,24,50,0,41,0,0,27,57.99999999999999,22,39,42,33,28.000000000000004,63,0,41,36,43,52,43,43,41,37,37,40,39,73,96,95,66,100,56.00000000000001,85,62,64,41,37,45,47,0,13,0,14.000000000000002,39,0,9,9,0,32,39,28.999999999999996,36,30,39,27,18,87,36,16,26,50,56.99999999999999,53,59,71,57.99999999999999
51-8092,15110,15110,Gas Plant Operators,1,Manufacturing,High school diploma or equivalent,Long-term on-the-job training,77850,Decline,46,45,48,50,45,37,37,43,36,13,20,52,39,36,50,48,46,39,52,52,50,79,0,39,43,48,43,43,39,28.999999999999996,39,75,35,61,28.999999999999996,0,15,48,11,26,14.000000000000002,17,17,54,53,40,27,25,30,18,23,30,27,45,77,48,57.99999999999999,31,66,92,63,45,14.000000000000002,16,37,45,35,13,46,27,17,38,36,44,39,27,41,41,27,43,89,99,74,44,41,60,45,74,76,42,40,56.00000000000001,44,25,39,45,36,48,26,64,48,47,61,56.00000000000001,42,37,36,9,39,0,49,33,34,22,66,55.00000000000001,41,48,0,45,50,48,41,52,56.99999999999999,45,45,41,37,52,93,76,78,56.99999999999999,27,50,20,48,28.000000000000004,45,51,79,34,56.00000000000001,41,51,17,59,28.999999999999996,39,37,41,56.99999999999999,50,43,39,34,34,51,39,51,87,90,74,95,28.000000000000004,42,67,45,36,39,41,45,0,0,0,20,50,21,0,27,0,34,36,25,27,21,34,23,23,72,35,13,26,31,49,28.999999999999996,55.00000000000001,64,54
51-8093,34230,34230,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,79540,Average,43,46,54,54,46,43,37,46,39,18,21,55.00000000000001,38,38,54,54,50,45,54,55.00000000000001,54,82,0,32,41,41,37,41,43,34,45,98,37,49,27,0,0,41,13,12,8,2,6,69,81,38,32,27,32,20,27,27,24,56.00000000000001,83,73,40,18,77,93,71,45,21,27,37,45,31,23,66,53,23,53,48,49,46,43,63,46,34,39,96,86,89,38,44,73,37,78,87,70,51,84,48,40,56.99999999999999,60,59,66,37,73,56.00000000000001,53,66,56.99999999999999,60,36,34,0,26,0,36,28.000000000000004,18,18,68,55.00000000000001,43,54,0,45,48,41,43,54,54,43,52,41,28.999999999999996,41,77,78,79,76,24,54,18,48,21,0,42,61,22,42,35,31,31,69,28.000000000000004,48,45,48,56.99999999999999,54,43,45,45,41,46,39,64,91,92,81,100,56.99999999999999,48,75,55.00000000000001,43,43,38,31,0,0,0,28.000000000000004,50,16,0,20,0,41,39,36,36,28.999999999999996,41,34,30,83,41,22,26,37,56.00000000000001,50,56.00000000000001,59,49
51-8099,15420,15420,Biofuels Processing Technicians,1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,50250,Slower than average,48,39,45,46,43,43,45,46,39,14.000000000000002,0,48,41,39,45,45,48,45,52,52,54,82,13,32,48,46,45,46,46,32,48,95,40,55.00000000000001,36,0,11,61,30,16,5,5,4,49,77,43,30,32,30,21,25,40,20,54,86,77,50,67,80,82,66,55.00000000000001,20,28.999999999999996,34,45,34,19,54,31,20,44,48,39,46,40,54,35,39,48,97,72,93,49,39,67,41,92,81,68,51,69,46,39,59,48,52,62,36,62,50,41,61,61,48,37,36,14.000000000000002,31,15,48,24,27,23,54,50,41,52,37,37,52,48,46,48,45,41,46,39,30,50,57.99999999999999,73,85,72,39,48,11,45,21,42,48,62,31,45,59,45,40,61,31,41,41,50,54,46,37,43,41,43,44,46,66,96,86,62,100,49,83,68,77,39,43,45,45,0,0,0,25,42,15,0,19,0,34,41,36,41,39,41,34,0,83,33,14.000000000000002,25,46,57.99999999999999,54,53,57.99999999999999,73
51-9011,106170,106170,Chemical Equipment Operators and Tenders,1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,48090,Decline,45,41,45,45,41,41,37,43,36,9,25,55.00000000000001,36,32,45,45,50,45,55.00000000000001,56.99999999999999,52,75,0,30,37,39,32,43,43,27,41,89,39,51,30,13,10,68,20,27,15,15,5,51,75,41,25,13,23,13,20,41,14.000000000000002,48,81,62,18,35,80,78,41,44,7.000000000000001,16,34,45,56.00000000000001,42,74,36,24,42,49,47,41,34,56.00000000000001,44,32,41,93,70,79,47,46,76,17,85,68,56.00000000000001,46,67,47,35,52,53,49,55.00000000000001,39,63,57.99999999999999,41,57.99999999999999,48,40,23,27,17,35,21,52,27,19,21,55.00000000000001,55.00000000000001,39,50,14.000000000000002,41,50,50,43,48,46,36,45,43,50,63,85,76,82,72,32,45,11,45,28.000000000000004,32,57.99999999999999,64,44,43,72,41,36,63,22,41,37,54,55.00000000000001,45,39,36,30,32,55.00000000000001,45,67,92,84,71,100,71,79,71,72,36,37,41,50,0,0,0,20,56.00000000000001,0,0,10,0,32,39,28.999999999999996,39,27,37,27,25,87,40,28.000000000000004,31,52,68,67,62,64,62
51-9012,48620,48620,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,46030,Average,43,41,43,45,41,41,37,39,30,11,14.000000000000002,46,32,30,43,43,43,41,52,50,41,82,25,27,37,37,37,43,43,30,43,62,28.000000000000004,40,28.999999999999996,0,0,44,24,25,13,5,14.000000000000002,48,78,26,27,21,30,25,25,23,18,52,71,57.99999999999999,7.000000000000001,13,79,16,9,35,20,25,34,41,32,21,53,40,24,30,28.000000000000004,35,27,27,43,30,30,41,89,71,55.00000000000001,61,63,50,10,71,65,56.00000000000001,54,62,31,28.999999999999996,45,52,41,50,35,57.99999999999999,47,42,47,40,41,28.999999999999996,30,11,33,20,30,16,19,19,54,45,39,43,16,37,43,43,43,50,43,41,43,39,25,37,22,49,67,50,27,39,13,43,14.000000000000002,23,36,54,20,38,59,37,24,51,12,37,36,43,48,45,34,30,28.999999999999996,36,42,39,74,91,84,63,98,28.000000000000004,57.99999999999999,61,72,41,37,41,38,0,0,0,25,46,0,13,10,0,39,45,37,48,30,43,37,21,65,38,25,18,47,59,56.00000000000001,51,63,62
51-9021,31800,31800,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,38760,Little or no change,43,41,43,43,41,43,37,41,37,5,9,43,32,30,43,43,46,36,45,45,43,56.99999999999999,0,36,43,43,41,45,48,28.999999999999996,43,45,31,56.99999999999999,21,15,10,28.999999999999996,0,23,7.000000000000001,1,8,35,70,39,27,28.999999999999996,25,27,27,23,33,22,49,61,43,53,54,55.00000000000001,45,49,14.000000000000002,23,39,41,28.999999999999996,16,59,41,0,38,33,41,41,33,49,37,30,43,91,55.00000000000001,78,28.000000000000004,39,52,31,81,67,43,40,48,39,39,44,43,48,46,32,42,47,31,46,42,33,30,41,9,23,12,40,27,18,22,56.99999999999999,54,41,45,25,43,52,46,45,54,46,43,45,43,21,28.999999999999996,5,57.99999999999999,62,51,24,48,11,43,11,22,30,68,22,42,60,26,23,47,35,32,34,45,46,43,32,32,28.999999999999996,30,41,43,63,93,88,87,99,45,66,78,77,39,43,43,36,0,0,0,17,40,21,8,19,9,30,41,30,45,39,41,39,28.999999999999996,75,35,13,27,52,64,52,38,41,56.00000000000001
51-9022,15680,15680,"Grinding and Polishing Workers, Hand",1,Manufacturing,No formal educational credential,Moderate-term on-the-job training,35670,Decline,41,32,41,41,36,37,32,36,27,0,11,43,30,28.999999999999996,41,39,41,36,41,41,39,57.99999999999999,0,32,39,39,37,52,48,32,41,21,28.999999999999996,39,0,0,0,33,0,20,10,3,11,61,43,32,16,16,21,18,18,31,26,32,50,13,14.000000000000002,27,46,23,3,35,9,13,28.999999999999996,36,38,28.000000000000004,63,31,18,32,49,31,31,35,43,51,30,39,73,17,65,22,25,57.99999999999999,23,68,42,43,53,66,36,36,31,47,51,53,44,57.99999999999999,52,41,49,40,35,28.999999999999996,28.999999999999996,21,26,0,53,27,28.000000000000004,21,45,43,39,41,18,36,50,45,50,43,37,32,41,34,27,25,17,74,76,54,27,41,18,41,0,26,35,43,27,38,51,26,12,56.00000000000001,37,25,27,41,41,37,27,25,18,27,42,39,87,85,79,70,98,40,60,71,78,28.999999999999996,28.999999999999996,36,41,0,0,0,19,43,0,0,19,0,23,41,25,41,30,41,27,20,71,57.99999999999999,25,27,75,76,44,43,56.00000000000001,66
51-9023,108440,108440,"Mixing and Blending Machine Setters, Operators, and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,38420,Slower than average,41,41,41,43,39,41,39,39,28.999999999999996,14.000000000000002,0,45,28.999999999999996,28.999999999999996,43,43,45,41,43,52,43,71,0,30,45,41,39,45,48,32,46,53,22,38,28.999999999999996,15,0,61,0,0,4,4,0,40,61,36,28.999999999999996,27,14.000000000000002,16,20,36,11,27,56.00000000000001,30,13,55.00000000000001,81,52,35,43,14.000000000000002,16,34,39,32,23,71,22,15,19,33,37,26,27,41,26,30,41,93,59,87,33,41,63,35,77,72,52,49,55.00000000000001,31,31,34,42,46,46,27,42,40,34,36,34,28.000000000000004,30,30,12,28.000000000000004,0,56.00000000000001,19,15,20,50,50,37,43,0,39,46,43,45,46,41,34,41,41,46,28.000000000000004,34,87,86,72,27,43,0,32,15,23,28.999999999999996,48,0,41,55.00000000000001,30,22,60,23,30,36,43,45,39,32,32,30,30,49,43,69,81,65,44,100,51,70,59,73,36,39,41,41,0,0,0,13,37,0,0,22,0,28.999999999999996,39,30,43,28.999999999999996,39,30,30,82,40,22,21,51,70,65,24,44,48
51-9031,7920,7920,"Cutters and Trimmers, Hand",1,Manufacturing,No formal educational credential,Short-term on-the-job training,30230,Decline,41,28.999999999999996,30,37,30,37,39,36,18,0,0,37,28.999999999999996,25,37,37,43,28.999999999999996,41,45,37,54,0,0,0,18,0,45,45,25,37,4,23,27,0,0,0,0,0,0,1,1,1,34,28.000000000000004,37,0,0,5,0,0,0,1,13,28.999999999999996,1,0,7.000000000000001,25,1,0,27,0,7.000000000000001,28.999999999999996,32,22,0,56.00000000000001,22,25,32,36,36,31,26,35,27,30,37,47,1,60,6,11,50,4,62,26,42,32,46,26,28.999999999999996,31,32,41,38,28.999999999999996,39,37,31,39,30,22,28.999999999999996,28.999999999999996,0,0,0,22,19,21,26,30,28.999999999999996,28.999999999999996,43,18,20,45,41,45,37,28.999999999999996,28.999999999999996,39,21,0,9,2,69,89,40,36,28.999999999999996,0,34,0,0,8,10,19,14.000000000000002,39,10,1,42,22,16,18,41,32,34,18,18,14.000000000000002,20,26,28.999999999999996,92,28.000000000000004,22,31,41,24,43,46,64,23,28.999999999999996,34,20,0,0,0,0,23,0,0,7.000000000000001,0,20,34,27,43,23,30,16,13,31,47,8,18,76,89,34,1,19,51
51-9032,55930,55930,"Cutting and Slicing Machine Setters, Operators, and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,37810,Decline,39,28.999999999999996,41,45,39,34,36,37,28.999999999999996,14.000000000000002,9,41,32,28.999999999999996,41,41,45,37,43,46,43,65,11,30,43,43,39,52,48,39,32,23,25,46,7.000000000000001,0,0,20,0,0,8,6,9,56.99999999999999,56.00000000000001,35,18,13,13,13,13,11,2,18,50,16,9,26,55.00000000000001,18,19,37,11,16,28.999999999999996,43,39,17,67,33,28.000000000000004,40,47,42,36,42,46,30,25,30,89,46,69,40,40,67,20,80,67,53,43,62,34,44,41,48,45,54,30,53,44,33,45,44,34,23,23,0,28.000000000000004,14.000000000000002,41,21,19,27,52,50,30,46,14.000000000000002,41,52,48,46,50,43,32,41,46,19,34,40,73,88,71,30,54,11,48,0,0,28.000000000000004,46,22,28.000000000000004,46,16,12,56.99999999999999,26,30,30,41,46,41,34,28.999999999999996,28.999999999999996,28.999999999999996,40,45,84,70,83,78,96,12,74,69,86,27,30,37,31,0,0,0,0,35,0,0,9,9,14.000000000000002,45,27,45,30,43,34,23,75,63,25,33,77,94,71,34,37,68
51-9041,56570,56570,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,37660,Slower than average,39,30,39,45,39,32,30,32,23,0,14.000000000000002,41,28.999999999999996,28.999999999999996,41,41,45,30,41,45,41,64,21,30,37,41,37,46,45,34,39,34,40,51,11,0,17,36,21,19,7.000000000000001,17,1,66,55.00000000000001,36,18,13,21,0,7.000000000000001,19,5,34,76,42,1,17,57.99999999999999,3,4,30,9,13,25,32,40,20,59,21,17,28.000000000000004,38,39,35,36,43,35,25,39,84,47,76,51,43,52,28.999999999999996,79,70,51,51,63,37,34,41,45,46,54,26,56.00000000000001,44,42,52,46,43,21,25,16,27,16,41,15,0,17,54,52,36,48,11,41,45,46,46,54,46,41,46,43,21,44,14.000000000000002,73,80,67,27,45,13,52,18,24,40,46,30,35,53,28.999999999999996,17,59,26,28.999999999999996,30,43,54,39,27,28.999999999999996,25,27,39,45,77,82,86,63,100,33,84,73,70,28.999999999999996,34,39,36,0,0,0,23,38,0,0,16,14.000000000000002,20,45,34,46,34,45,36,27,65,46,17,26,57.99999999999999,89,64,46,66,59
51-9051,14180,14180,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,43710,Slower than average,45,34,43,45,37,30,30,30,18,0,9,45,21,16,41,41,43,39,48,52,45,64,0,13,21,28.999999999999996,14.000000000000002,41,41,28.999999999999996,28.999999999999996,39,34,46,16,23,22,41,0,28.999999999999996,1,14.000000000000002,10,61,76,40,16,7.000000000000001,13,11,7.000000000000001,20,23,43,90,40,10,25,86,19,23,41,0,5,28.999999999999996,36,34,28.000000000000004,75,28.999999999999996,0,31,36,55.00000000000001,31,38,41,44,25,41,85,23,66,37,23,47,12,70,62,63,53,66,33,22,39,38,53,53,32,61,56.00000000000001,43,55.00000000000001,44,31,27,21,21,30,21,46,11,0,17,50,46,28.999999999999996,46,11,30,50,43,43,48,39,20,30,36,27,42,10,46,75,59,16,39,5,30,22,24,34,51,28.000000000000004,38,47,19,20,56.99999999999999,14.000000000000002,28.999999999999996,18,43,46,36,16,21,28.999999999999996,18,30,36,82,87,90,66,100,35,64,68,83,21,30,41,37,0,17,0,20,47,0,15,12,0,32,46,28.999999999999996,43,30,43,30,23,86,55.00000000000001,9,16,63,72,50,38,78,69
51-9061,551380,551380,"Inspectors, Testers, Sorters, Samplers, and Weighers",1,Manufacturing,High school diploma or equivalent,Moderate-term on-the-job training,38580,Decline,45,34,46,45,39,39,32,39,30,9,23,45,32,28.999999999999996,43,43,43,43,52,50,48,78,0,18,20,32,16,45,43,23,45,50,35,36,14.000000000000002,16,0,42,0,31,12,1,0,61,37,41,14.000000000000002,9,11,11,11,25,2,41,55.00000000000001,27,17,16,86,24,17,35,13,14.000000000000002,30,41,30,24,74,31,17,41,37,30,35,32,37,34,28.999999999999996,43,98,68,89,46,46,74,49,88,69,56.00000000000001,56.00000000000001,61,33,32,54,56.99999999999999,64,60,39,63,53,47,64,53,42,32,32,0,51,19,38,23,19,27,45,41,32,43,20,20,41,37,43,30,41,28.999999999999996,43,28.999999999999996,33,42,80,68,89,66,41,48,11,43,15,21,38,53,40,34,64,28.000000000000004,11,66,32,36,28.999999999999996,43,46,45,28.999999999999996,30,34,28.999999999999996,50,28.999999999999996,69,82,79,60,98,19,53,54,76,30,30,43,50,9,0,0,19,49,11,0,28.000000000000004,0,20,32,21,28.999999999999996,20,34,21,9,72,35,22,32,54,71,63,41,36,54
51-9071,24350,12175,Gem and Diamond Workers,2,Manufacturing,High school diploma or equivalent,Long-term on-the-job training,46640,Little or no change,43,37,45,43,37,34,37,46,21,0,34,41,36,39,45,45,39,39,50,52,45,47,0,36,25,25,21,63,48,28.999999999999996,63,55.00000000000001,15,40,9,0,0,20,0,21,4,0,0,42,12,19,0,0,0,0,0,22,4,8,6,0,17,0,4,2,2,0,27,28.999999999999996,28.999999999999996,34,45,24,31,49,9,26,28.000000000000004,17,18,15,24,30,43,43,95,93,94,28.000000000000004,48,81,86,84,56.99999999999999,44,40,53,18,25,32,34,63,37,27,49,53,56.99999999999999,50,43,26,27,41,28.000000000000004,44,45,20,41,30,43,36,32,28.999999999999996,37,0,25,0,32,75,23,28.999999999999996,25,34,34,38,35,82,68,96,88,28.999999999999996,50,20,48,30,0,21,26,30,18,53,0,0,43,23,41,21,50,39,54,37,37,37,23,46,23,91,73,50,27,24,3,10,54,59,30,25,41,47,0,0,0,26,32,23,9,22,0,0,0,0,16,0,0,0,0,31,10,1,5,70,10,6,5,11,35
