code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,equipment_maintenance.l,repairing.l,manual_dexterity.l,medicine_and_dentistry.l,exposed_to_disease_or_infections.l,physical_proximity.l,very_hot_or_cold_temperatures.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,outdoors_exposed_to_weather.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,deal_with_external_customers.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,sales_and_marketing.l,selling_or_influencing_others.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,administrative.l,electronic_mail.l,importance_of_repeating_same_tasks.l,building_and_construction.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,pace_determined_by_speed_of_equipment.l,handling_and_moving_objectives.l,history_and_archeology.l,fine_arts.l,public_speaking.l,extent_flexibility.l,stamina.l,spend_time_bending_or_twisting_the_body.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l
29-1223,25520,25520,Psychiatrists,1,Health Science,Doctoral or professional degree,Internship/residency,208000,Faster than average,9,50,70,0,0,0,83,70,67,1,2,0,1,39,34,28.000000000000004,87,82,70,61,67,42,22,23,35,0,0,0,42,96,35,0,0,0,34,37,41,8,2,15,17,0,26,0,13,7.000000000000001,3,23,27,18
29-1224,29530,29530,Radiologists,1,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,14.000000000000002,0,64,0,0,36,89,85,63,16,3,0,0,50,49,42,81,52,70,75,85,60,38,40,47,45,30,43,49,89,80,19,35,44,41,45,50,68,47,36,0,0,42,20,14.000000000000002,24,6,48,34,15
29-1229,256670,42778.333333333336,Allergists and Immunologists,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,0,0,61,0,0,0,91,95,84,5,0,0,1,56.99999999999999,57.99999999999999,50,100,47,83,71,83,45,48,44,49,0,0,0,51,87,63,0,12,32,43,46,50,33,2,28.999999999999996,11,0,33,0,0,8,2,6,51,33
29-1229,256670,42778.333333333336,Hospitalists,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,7.000000000000001,27,64,0,0,21,91,95,88,1,3,5,4,37,55.00000000000001,45,96,82,78,75,84,53,31,25,44,20,16,36,48,90,48,0,0,21,43,45,46,42,6,36,12,0,50,18,27,17,11,28.000000000000004,44,44
29-1229,256670,42778.333333333336,Physical Medicine and Rehabilitation Physicians,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,13,0,61,0,0,36,90,90,91,5,9,0,0,57.99999999999999,49,49,91,56.00000000000001,90,69,78,46,35,51,36,32,34,41,52,95,53,0,36,37,48,43,43,61,9,44,19,14.000000000000002,30,23,20,26,12,31,54,36
29-1229,256670,42778.333333333336,Preventive Medicine Physicians,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,13,41,70,0,0,5,86,61,55.00000000000001,14.000000000000002,44,4,22,59,64,57.99999999999999,85,48,83,72,78,50,42,44,59,7.000000000000001,5,5,42,99,26,15,17,27,48,45,48,21,4,19,30,10,49,0,0,11,5,22,34,21
29-1229,256670,42778.333333333336,Sports Medicine Physicians,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,18,0,64,0,0,39,95,94,100,13,13,0,34,55.00000000000001,54,51,99,55.00000000000001,75,56.99999999999999,72,54,26,39,42,41,39,46,32,93,53,0,0,0,41,37,41,73,2,78,0,0,34,34,27,50,19,22,79,31
29-1229,256670,42778.333333333336,Urologists,6,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,14.000000000000002,0,64,0,0,0,94,96,99,2,4,0,2,40,36,28.000000000000004,93,56.99999999999999,82,61,75,45,40,45,37,45,39,50,49,77,54,0,0,41,36,36,37,66,17,39,0,0,30,21,25,28.999999999999996,15,34,65,45
29-1241,11610,11610,"Ophthalmologists, Except Pediatric",1,Health Science,Doctoral or professional degree,Short-term on-the-job training,208000,Slower than average,13,0,64,0,0,48,92,92,92,4,17,0,1,56.99999999999999,62,43,100,63,98,70,83,50,38,39,40,61,39,64,46,93,59,0,0,17,50,46,46,93,7.000000000000001,48,0,0,50,0,0,30,16,52,37,26
29-1291,7250,7250,Acupuncturists,1,Health Science,Doctoral or professional degree,Short-term on-the-job training,60570,Slower than average,0,16,54,0,0,43,68,83,100,6,5,5,0,44,66,46,84,47,77,64,74,42,34,62,50,30,32,48,55.00000000000001,86,70,0,0,28.999999999999996,28.999999999999996,30,28.999999999999996,83,21,70,0,0,37,28.999999999999996,25,61,28.999999999999996,66,69,38
29-1292,207190,207190,Dental Hygienists,1,Health Science,Associate's degree,None,77810,Faster than average,7.000000000000001,16,50,23,16,50,59,99,89,9,0,0,0,24,39,27,99,56.00000000000001,72,47,57.99999999999999,45,0,25,49,45,41,54,22,42,83,0,0,22,23,27,27,100,10,62,0,0,2,37,25,75,9,100,31,24
29-1299,26250,13125,Naturopathic Physicians,2,Health Science,Doctoral or professional degree,Short-term on-the-job training,100300,Slower than average,11,14.000000000000002,61,0,0,25,82,84,77,3,10,0,2,52,61,43,90,45,81,70,70,47,49,62,56.99999999999999,7.000000000000001,9,27,66,99,41,0,0,26,37,41,41,41,2,42,26,0,26,0,0,18,11,26,31,19
29-1299,26250,13125,Orthoptists,2,Health Science,Doctoral or professional degree,Short-term on-the-job training,100300,Slower than average,11,41,59,0,0,41,54,81,82,3,4,4,0,36,23,37,96,62,80,57.99999999999999,63,42,10,0,24,41,27,43,49,89,59,0,0,13,43,32,34,85,3,48,0,0,27,9,0,36,22,55.00000000000001,37,33
29-2011,335500,111833.33333333333,Cytogenetic Technologists,3,Health Science,Bachelor's degree,Long-term on-the-job training,57800,Faster than average,7.000000000000001,18,59,13,9,41,35,72,63,6,3,0,1,30,46,28.999999999999996,61,28.999999999999996,28.000000000000004,49,67,44,12,0,18,41,27,45,43,93,93,0,12,35,43,41,43,76,22,59,0,0,16,11,0,25,8,83,26,20
29-2011,335500,111833.33333333333,Cytotechnologists,3,Health Science,Doctoral or professional degree,Short-term on-the-job training,57800,Faster than average,14.000000000000002,9,54,27,27,45,52,73,51,1,1,0,0,26,32,27,59,30,35,37,55.00000000000001,49,12,17,10,43,34,52,51,92,88,0,12,26,39,34,39,83,10,47,0,0,17,7.000000000000001,0,9,1,92,24,18
29-2011,335500,111833.33333333333,Medical and Clinical Laboratory Technologists,3,Health Science,Bachelor's degree,Long-term on-the-job training,57800,Faster than average,27,28.999999999999996,52,43,32,45,49,96,72,0,1,0,0,32,42,23,88,64,76,51,76,54,10,0,25,46,32,52,50,90,85,0,15,36,43,43,43,95,76,66,0,0,8,27,23,30,18,56.99999999999999,57.99999999999999,47
29-2012,335500,335500,Medical and Clinical Laboratory Technicians,1,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,57800,Faster than average,14.000000000000002,27,43,37,28.999999999999996,43,47,77,65,25,0,0,1,18,34,0,86,54,45,56.00000000000001,76,64,11,0,0,43,37,43,55.00000000000001,79,83,0,0,45,36,39,41,68,48,60,0,0,11,28.999999999999996,28.999999999999996,22,8,72,56.99999999999999,41
29-2031,55760,55760,Cardiovascular Technologists and Technicians,1,Health Science,Associate's degree,None,60570,Average,9,9,50,34,32,41,57.99999999999999,74,97,0,2,0,0,13,33,21,99,68,81,49,56.99999999999999,53,8,0,14.000000000000002,45,37,45,47,75,78,0,0,15,36,39,39,85,42,73,0,0,13,34,27,63,13,76,52,49
29-2032,78640,78640,Diagnostic Medical Sonographers,1,Health Science,Associate's degree,None,77740,Much faster than average,0,28.999999999999996,48,37,32,45,51,87,95,4,4,0,1,34,22,20,96,65,81,54,64,50,12,0,19,48,41,43,55.00000000000001,60,92,0,16,21,32,32,34,95,19,61,11,0,9,41,27,63,17,93,51,46
29-2033,17140,17140,Nuclear Medicine Technologists,1,Health Science,Associate's degree,None,78760,Average,13,16,52,30,28.999999999999996,41,55.00000000000001,93,86,3,2,0,1,19,47,21,96,67,91,46,59,56.00000000000001,15,16,22,43,28.999999999999996,43,50,77,62,0,11,28.999999999999996,43,43,43,74,56.00000000000001,65,0,0,13,27,27,35,16,38,54,48
29-2034,216380,216380,Radiologic Technologists and Technicians,1,Health Science,Associate's degree,None,61370,Average,9,12,48,9,0,40,55.00000000000001,91,93,4,2,0,3,27,31,16,97,71,87,46,60,49,18,0,15,45,41,44,51,66,66,0,11,26,32,32,31,88,32,75,0,0,16,42,32,55.00000000000001,32,64,75,61
29-2035,38070,38070,Magnetic Resonance Imaging Technologists,1,Health Science,Associate's degree,None,77360,Average,13,0,54,0,13,43,52,84,76,9,19,5,5,38,43,36,85,72,75,42,60,53,0,27,33,45,41,45,46,81,78,14.000000000000002,19,33,37,37,36,73,59,73,13,0,19,25,25,31,9,61,36,30
29-2051,21610,21610,Dietetic Technicians,1,Health Science,Associate's degree,None,29520,Average,7.000000000000001,32,45,0,0,34,30,86,77,52,8,2,4,46,48,40,95,64,78,34,55.00000000000001,28.000000000000004,33,0,33,32,30,41,64,56.00000000000001,59,22,0,53,43,39,43,48,10,67,0,0,38,32,27,51,40,55.00000000000001,71,66
29-2052,436630,436630,Pharmacy Technicians,1,Health Science,High school diploma or equivalent,Moderate-term on-the-job training,36740,Slower than average,7.000000000000001,11,43,0,0,43,46,60,77,6,12,0,1,26,44,27,96,83,69,39,64,49,21,31,28.000000000000004,28.999999999999996,28.999999999999996,43,55.00000000000001,92,85,0,0,46,43,43,39,67,32,57.99999999999999,0,0,17,32,28.999999999999996,42,26,77,89,71
29-2053,93410,93410,Psychiatric Technicians,1,Health Science,Postsecondary nondegree award,Short-term on-the-job training,36570,Faster than average,7.000000000000001,11,52,0,0,30,27,93,85,12,25,0,15,28.999999999999996,36,30,91,89,75,46,66,51,0,0,46,30,30,37,37,71,71,0,0,11,27,32,28.999999999999996,43,15,49,17,0,32,30,32,41,15,38,61,63
29-2055,109060,109060,Surgical Technologists,1,Health Science,Postsecondary nondegree award,None,48530,Average,0,27,43,41,32,52,66,82,99,12,2,0,0,25,43,20,92,53,76,44,51,37,13,13,18,43,39,55.00000000000001,28.999999999999996,53,75,0,10,30,39,32,30,92,22,78,0,0,14.000000000000002,41,28.999999999999996,51,20,67,82,54
29-2056,118670,118670,Veterinary Technologists and Technicians,1,Health Science,Associate's degree,None,36850,Faster than average,11,21,45,32,27,46,64,79,88,8,9,3,26,28.999999999999996,44,32,92,59,72,43,56.00000000000001,45,24,40,42,43,41,52,41,66,60,0,0,25,37,45,45,74,13,77,0,0,12,41,37,57.99999999999999,53,46,82,65
29-2057,65700,65700,Ophthalmic Medical Technicians,1,Health Science,Postsecondary nondegree award,None,37180,Faster than average,7.000000000000001,5,43,28.999999999999996,18,39,52,82,90,0,5,0,0,35,32,28.999999999999996,98,63,89,35,55.00000000000001,43,12,21,24,43,28.999999999999996,48,41,88,66,0,0,15,36,36,36,71,6,51,0,0,15,21,9,23,8,71,56.00000000000001,54
29-2061,641240,641240,Licensed Practical and Licensed Vocational Nurses,1,Health Science,Postsecondary nondegree award,None,48070,Average,0,21,52,0,0,43,52,92,92,6,2,0,4,23,28.999999999999996,26,96,75,66,41,62,53,15,13,20,43,43,43,47,70,73,0,0,10,41,41,34,60,19,45,0,0,19,43,39,56.00000000000001,26,56.99999999999999,69,65
29-2081,73270,73270,"Opticians, Dispensing",1,Health Science,High school diploma or equivalent,Long-term on-the-job training,37570,Average,5,23,50,0,11,43,32,40,83,0,3,0,0,47,60,43,95,63,94,50,59,45,44,64,60,39,36,48,57.99999999999999,86,52,0,21,46,39,39,36,81,16,48,0,0,19,7.000000000000001,0,19,10,48,50,27
29-2091,10410,10410,Orthotists and Prosthetists,1,Health Science,Master's degree,Internship/residency,75440,Much faster than average,11,52,63,14.000000000000002,16,48,59,67,85,10,28.999999999999996,2,10,48,59,48,97,54,85,50,68,48,42,56.00000000000001,45,45,43,48,62,100,51,35,66,61,45,36,43,88,23,69,16,19,32,30,18,44,41,39,66,35
29-2092,10790,10790,Hearing Aid Specialists,1,Health Science,High school diploma or equivalent,Moderate-term on-the-job training,59500,Faster than average,9,9,45,28.999999999999996,32,46,63,50,76,0,9,0,0,50,48,25,92,56.00000000000001,98,48,52,54,47,73,62,45,28.999999999999996,45,65,97,51,0,30,33,37,36,28.999999999999996,63,10,47,0,10,33,9,0,17,14.000000000000002,31,31,21
29-2099,140770,46923.333333333336,Neurodiagnostic Technologists,3,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,16,0,52,28.999999999999996,34,30,63,81,94,0,2,0,0,51,54,48,94,62,77,47,73,56.00000000000001,28.000000000000004,31,28.000000000000004,39,30,41,64,88,69,0,20,27,32,34,34,80,19,68,0,0,25,25,13,34,24,48,44,28.000000000000004
29-2099,140770,46923.333333333336,Ophthalmic Medical Technologists,3,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,13,0,46,11,5,39,54,79,86,0,5,0,1,38,32,41,91,70,76,41,48,44,16,0,19,43,30,48,57.99999999999999,88,55.00000000000001,0,0,13,37,36,39,69,9,46,0,0,20,23,20,26,13,48,53,44
29-2099,140770,46923.333333333336,Patient Representatives,3,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,13,0,54,0,0,5,46,70,75,17,6,0,6,39,47,21,100,73,98,56.99999999999999,69,48,35,32,39,5,9,21,52,100,88,0,0,27,28.999999999999996,34,34,50,15,38,0,0,17,13,27,30,17,57.99999999999999,31,44
29-9091,26070,26070,Athletic Trainers,1,Health Science,Bachelor's degree,None,48420,Much faster than average,0,32,55.00000000000001,0,0,41,64,72,77,53,42,32,80,44,36,23,97,66,74,40,53,50,10,23,19,28.999999999999996,43,41,59,93,66,8,27,25,30,28.999999999999996,28.999999999999996,50,7.000000000000001,53,0,0,60,39,41,31,24,43,65,41
29-9092,2740,2740,Genetic Counselors,1,Health Science,Master's degree,None,80150,Much faster than average,7.000000000000001,0,70,0,0,0,60,38,47,0,1,0,0,27,13,37,89,48,79,87,75,43,11,30,17,0,0,0,56.99999999999999,100,39,0,0,9,39,41,45,13,0,10,12,0,40,0,0,3,2,19,20,18
29-9093,17250,17250,Surgical Assistants,1,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,48320,Faster than average,13,13,50,0,0,52,76,87,97,5,1,0,0,17,38,19,94,54,75,54,62,44,0,11,35,52,46,56.99999999999999,21,81,67,0,17,23,37,37,36,87,21,83,10,0,24,41,34,47,16,50,83,41
29-9099,44100,44100,Midwives,1,Health Science,Doctoral or professional degree,Short-term on-the-job training,58750,Faster than average,11,7.000000000000001,56.99999999999999,0,0,37,78,77,95,4,25,0,4,48,52,48,88,42,81,56.00000000000001,70,47,16,40,53,27,41,52,59,90,44,0,0,0,36,36,34,46,0,56.99999999999999,10,0,38,32,27,28.999999999999996,25,19,39,24
31-1121,3470700,1735350,Home Health Aides,2,Health Science,High school diploma or equivalent,Short-term on-the-job training,29430,Much faster than average,0,0,43,0,0,34,28.000000000000004,63,84,10,28.999999999999996,0,7.000000000000001,24,39,21,84,49,57.99999999999999,38,54,16,21,16,20,28.999999999999996,30,43,23,20,45,0,14.000000000000002,13,28.999999999999996,28.999999999999996,28.999999999999996,51,18,65,11,0,16,41,36,64,28.000000000000004,56.00000000000001,65,47
31-1121,3470700,1735350,Personal Care Aides,2,Human Services,High school diploma or equivalent,Short-term on-the-job training,29430,Much faster than average,0,0,41,0,0,28.999999999999996,24,62,86,16,21,0,18,15,25,0,83,53,49,23,33,0,0,0,0,20,32,36,24,28.000000000000004,55.00000000000001,0,0,13,23,25,21,33,14.000000000000002,59,9,0,22,30,32,63,42,46,76,69
31-1131,1314830,1314830,Nursing Assistants,1,Health Science,Postsecondary nondegree award,None,30310,Average,0,0,41,0,0,39,36,81,84,19,20,0,21,32,28.000000000000004,23,96,76,67,34,53,40,23,27,20,32,32,43,33,40,62,0,19,25,27,28.999999999999996,28.999999999999996,46,33,50,16,12,31,45,39,65,38,62,85,89
31-1132,45160,45160,Orderlies,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,29990,Average,0,0,30,0,0,36,20,97,97,15,3,2,26,13,28.000000000000004,12,98,76,60,30,40,26,0,0,15,34,30,32,14.000000000000002,48,78,0,0,9,13,18,16,91,37,83,0,0,33,45,39,84,39,81,90,91
31-1133,39140,39140,Psychiatric Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,30260,Average,0,0,45,0,0,28.999999999999996,26,91,89,7.000000000000001,34,3,31,17,26,20,84,68,48,43,45,26,0,0,21,28.999999999999996,30,39,23,33,67,0,0,0,25,27,25,49,7.000000000000001,42,0,0,17,32,30,50,41,45,63,62
31-2011,41980,41980,Occupational Therapy Assistants,1,Health Science,Associate's degree,None,61730,Much faster than average,0,9,54,0,0,37,47,88,82,2,20,4,9,25,18,10,97,71,70,43,56.99999999999999,41,14.000000000000002,20,30,37,37,39,41,83,69,0,0,14.000000000000002,32,28.999999999999996,30,61,17,57.99999999999999,10,7.000000000000001,24,30,28.999999999999996,61,57.99999999999999,46,75,63
31-2012,3370,3370,Occupational Therapy Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,33560,Much faster than average,0,23,45,11,11,39,43,78,87,1,15,0,27,17,44,32,99,74,51,43,50,49,0,21,31,30,41,39,56.00000000000001,62,53,0,24,0,25,27,23,37,4,62,0,0,23,39,30,41,37,49,69,60
31-2021,93660,93660,Physical Therapist Assistants,1,Health Science,Associate's degree,None,61180,Much faster than average,14.000000000000002,23,46,13,14.000000000000002,41,50,83,99,2,1,0,2,20,26,13,99,59,77,45,50,56.00000000000001,20,20,25,32,41,43,48,47,55.00000000000001,0,10,0,28.999999999999996,30,30,64,1,75,0,0,37,41,37,65,33,65,71,56.99999999999999
31-2022,42390,42390,Physical Therapist Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,29200,Much faster than average,0,14.000000000000002,41,13,0,39,45,86,95,13,5,0,5,21,25,18,98,57.99999999999999,51,41,45,41,14.000000000000002,24,24,30,39,41,46,54,48,0,13,16,27,28.999999999999996,27,69,20,76,9,10,20,39,34,55.00000000000001,40,53,74,70
31-9011,81030,81030,Massage Therapists,1,Human Services,Postsecondary nondegree award,None,46910,Much faster than average,0,18,43,0,0,45,39,31,83,3,0,0,5,28.000000000000004,51,23,91,30,79,44,42,31,35,49,30,27,45,45,46,66,56.00000000000001,0,0,0,21,16,16,64,2,59,0,0,10,45,45,74,22,84,81,16
31-9091,347170,347170,Dental Assistants,1,Health Science,Postsecondary nondegree award,None,38660,Faster than average,5,13,43,18,20,43,68,67,94,14.000000000000002,0,0,0,44,44,38,95,67,71,50,57.99999999999999,56.99999999999999,28.000000000000004,38,46,45,41,48,52,72,73,0,11,35,28.999999999999996,30,28.999999999999996,83,26,65,0,0,55.00000000000001,37,27,70,21,71,67,67
31-9092,727760,727760,Medical Assistants,1,Health Science,Postsecondary nondegree award,None,37190,Much faster than average,9,11,52,7.000000000000001,11,32,54,92,83,0,0,0,0,32,47,42,100,74,75,52,77,59,28.999999999999996,25,34,32,30,43,65,64,76,0,0,0,37,43,39,38,1,60,0,0,27,25,27,33,13,57.99999999999999,49,48
31-9093,61170,61170,Medical Equipment Preparers,1,Health Science,High school diploma or equivalent,Moderate-term on-the-job training,38220,Average,11,5,36,37,34,43,36,92,77,28.000000000000004,0,0,0,21,41,18,89,67,76,54,80,56.99999999999999,0,0,22,43,37,45,43,78,86,0,0,47,32,28.999999999999996,27,83,59,84,0,0,14.000000000000002,37,30,62,32,87,78,76
31-9094,55830,55830,Medical Transcriptionists,1,Health Science,Postsecondary nondegree award,None,30100,Decline,7.000000000000001,13,59,0,0,32,37,60,53,10,4,0,6,16,21,0,85,46,69,34,57.99999999999999,45,0,0,0,30,0,30,75,85,87,0,0,17,14.000000000000002,23,21,79,24,26,0,0,10,0,0,23,11,49,45,42
31-9095,43560,43560,Pharmacy Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,29930,Decline,7.000000000000001,7.000000000000001,39,7.000000000000001,0,30,35,78,82,21,23,0,10,11,37,0,96,73,88,46,52,73,17,28.999999999999996,42,20,30,32,40,68,70,0,0,23,34,32,32,67,24,70,0,0,6,34,20,27,25,66,97,34
31-9096,98970,98970,Veterinary Assistants and Laboratory Animal Caretakers,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,29780,Faster than average,0,23,43,11,9,41,54,85,84,23,7.000000000000001,7.000000000000001,42,23,39,22,87,54,68,40,51,47,23,38,52,32,41,43,57.99999999999999,66,75,0,0,24,37,30,30,73,3,72,0,0,27,43,30,57.99999999999999,64,56.99999999999999,95,77
31-9097,132750,132750,Phlebotomists,1,Health Science,Postsecondary nondegree award,None,37380,Much faster than average,9,0,43,11,9,43,44,88,76,13,11,0,7.000000000000001,43,42,36,96,79,82,51,77,59,27,24,19,30,30,55.00000000000001,56.00000000000001,82,81,23,23,38,30,30,28.999999999999996,82,38,56.00000000000001,0,0,36,32,25,57.99999999999999,42,86,82,68
31-9099,108410,54205,Endoscopy Technicians,2,Health Science,High school diploma or equivalent,None,37740,Faster than average,5,0,45,41,34,45,46,87,83,6,4,0,0,33,34,27,86,56.99999999999999,59,44,56.00000000000001,49,25,22,21,46,43,46,44,56.99999999999999,75,0,16,38,30,30,27,88,44,78,0,0,22,39,27,49,24,74,91,67
31-9099,108410,54205,Speech-Language Pathology Assistants,2,Health Science,High school diploma or equivalent,None,37740,Faster than average,5,0,55.00000000000001,0,0,28.999999999999996,17,51,78,16,2,0,4,28.999999999999996,30,0,100,39,60,54,62,42,0,0,10,25,0,30,61,70,33,0,0,0,34,36,32,49,2,37,0,0,43,0,0,22,16,26,32,28.999999999999996
33-1011,54470,54470,First-Line Supervisors of Correctional Officers,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,None,62220,Decline,7.000000000000001,23,56.99999999999999,0,0,32,21,71,76,49,42,7.000000000000001,65,56.99999999999999,46,57.99999999999999,94,89,60,56.00000000000001,66,56.99999999999999,20,0,48,30,32,36,57.99999999999999,99,66,13,17,28.999999999999996,28.999999999999996,32,28.999999999999996,35,3,49,10,0,74,30,43,33,21,35,57.99999999999999,63
33-1012,128230,128230,First-Line Supervisors of Police and Detectives,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,99330,Average,14.000000000000002,37,56.99999999999999,0,0,39,30,56.99999999999999,77,71,95,28.999999999999996,88,63,60,55.00000000000001,97,80,95,56.00000000000001,68,59,30,23,55.00000000000001,39,39,41,57.99999999999999,96,70,0,25,27,37,41,37,53,12,49,19,0,47,32,32,33,20,43,42,37
33-1021,80890,80890,First-Line Supervisors of Firefighting and Prevention Workers,1,"Law, Public Safety, Corrections & Security",Postsecondary nondegree award,Moderate-term on-the-job training,78230,Average,8,43,56.00000000000001,37,31,44,37,47,75,76,85,44,87,59,68,56.00000000000001,89,52,82,46,56.99999999999999,40,38,24,40,53,49,42,63,86,50,54,38,28.999999999999996,46,39,40,63,22,87,21,0,53,48,46,49,38,46,52,47
33-2011,317310,317310,Firefighters,1,"Law, Public Safety, Corrections & Security",Postsecondary nondegree award,Long-term on-the-job training,50700,Average,0,0,44,40,41,54,53,61,81,70,85,50,82,37,51,42,91,63,86,46,56.00000000000001,42,22,0,34,54,55.00000000000001,48,48,78,57.99999999999999,65,36,24,32,30,32,70,27,84,0,0,52,54,54,57.99999999999999,42,53,65,48
33-2021,14600,14600,Fire Inspectors and Investigators,1,"Law, Public Safety, Corrections & Security",Postsecondary nondegree award,Moderate-term on-the-job training,64600,Average,13,0,54,0,0,33,32,49,67,66,89,22,86,43,46,35,98,60,91,51,67,46,18,0,40,38,39,37,51,95,57.99999999999999,64,44,21,40,35,36,43,6,72,18,0,39,35,28.999999999999996,39,27,41,55.00000000000001,52
33-2022,2770,2770,Forest Fire Inspectors and Prevention Specialists,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,42600,Much faster than average,9,14.000000000000002,48,20,16,34,25,36,54,73,92,36,91,60,55.00000000000001,40,95,62,84,41,52,40,33,21,40,41,43,39,62,93,64,31,35,28.999999999999996,34,37,37,62,28.999999999999996,81,32,0,55.00000000000001,32,30,55.00000000000001,36,59,61,57.99999999999999
33-3011,16420,16420,Bailiffs,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,48320,Little or no change,0,0,32,0,0,18,0,24,73,14.000000000000002,28.999999999999996,0,28.000000000000004,31,32,48,91,74,85,44,59,45,13,0,36,13,30,21,34,66,51,0,0,0,11,13,7.000000000000001,28.999999999999996,0,55.00000000000001,0,0,42,30,32,22,13,31,60,39
33-3012,392600,392600,Correctional Officers and Jailers,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,47920,Decline,7.000000000000001,7.000000000000001,45,0,0,41,19,72,81,34,46,7.000000000000001,46,38,30,21,98,94,78,53,63,48,17,0,25,37,41,41,52,66,81,0,0,0,28.999999999999996,28.999999999999996,25,62,16,43,0,0,45,39,46,35,15,55.00000000000001,49,54
33-3021,107890,35963.333333333336,Detectives and Criminal Investigators,3,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,83640,Slower than average,12,26,56.00000000000001,0,0,32,25,56.00000000000001,69,63,93,12,78,44,30,24,95,82,92,56.00000000000001,64,47,22,16,36,39,36,35,57.99999999999999,96,56.99999999999999,0,0,0,31,35,34,43,5,47,26,0,37,30,32,32,21,40,45,31
33-3021,107890,35963.333333333336,Intelligence Analysts,3,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,83640,Slower than average,28.999999999999996,27,68,0,0,5,10,3,54,7.000000000000001,28.000000000000004,1,10,42,46,48,86,37,54,76,88,72,30,20,42,7.000000000000001,0,5,68,100,69,0,17,36,45,41,41,36,2,22,34,0,51,0,0,8,4,60,25,15
33-3021,107890,35963.333333333336,Police Identification and Records Officers,3,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,83640,Slower than average,9,9,55.00000000000001,0,0,36,21,60,76,66,90,17,77,31,35,0,90,67,92,59,67,61,0,0,20,37,41,43,56.99999999999999,100,80,0,0,14.000000000000002,34,34,39,49,14.000000000000002,51,28.000000000000004,0,47,28.999999999999996,21,35,28.000000000000004,48,40,28.000000000000004
33-3031,6730,6730,Fish and Game Wardens,1,"Law, Public Safety, Corrections & Security",Bachelor's degree,Moderate-term on-the-job training,60730,Little or no change,7.000000000000001,36,54,27,27,36,38,31,76,72,100,43,97,50,39,17,92,70,96,52,70,45,22,30,51,46,43,37,55.00000000000001,96,46,28.999999999999996,31,20,41,36,32,56.99999999999999,2,74,35,0,48,30,41,37,28.000000000000004,37,50,41
33-3041,7450,7450,Parking Enforcement Workers,1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Short-term on-the-job training,46590,Decline,11,0,36,23,14.000000000000002,30,0,10,37,75,91,2,100,0,36,39,73,87,86,45,51,51,0,0,31,39,37,30,36,46,61,0,0,0,25,25,21,92,49,50,0,0,15,30,28.999999999999996,44,2,74,56.00000000000001,60
