occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Craft Artists,No formal educational credential,35930,0.37,0.37,0.41,0.45,0.3,0.23,0.23,0.23,0,0,0,0.55,0.55,0.46,0.39,0.43,0.43,0,0,0.18,0,0.23,0.41,0.52,0.31,0.49,0.38,0.17,0.49,0.28,0.69,0.21,0.2
Crane and Tower Operators,High school diploma or equivalent,62240,0.37,0.34,0.32,0.43,0.29,0.43,0.39,0.41,0.43,0.39,0.29,0.45,0.43,0.59,0.36,0.43,0.39,0.15,0.11,0.22,0,0.4,0.42,0.62,0.42,0.35,0.12,0.21,0.26,0,0,0,0
Credit Analysts,Bachelor's degree,77440,0.54,0.52,0.43,0.57,0,0,0,0,0,0,0,0.11,0.25,0.07,0.59,0.64,0.52,0,0,0.1,0,0,0.13,0,0.16,0.42,0.74,0.23,0.59,0.13,0,0,0.16
"Credit Authorizers, Checkers, and Clerks",High school diploma or equivalent,44710,0.46,0.43,0.44,0.5,0,0,0,0,0.11,0,0,0,0,0,0.49,0.48,0.46,0,0,0.42,0,0,0,0,0,0.49,0.54,0,0.63,0,0,0,0
Credit Counselors,Bachelor's degree,47580,0.46,0.5,0.46,0.55,0,0,0,0,0,0,0,0.13,0.21,0.09,0.54,0.54,0.45,0.41,0,0.52,0,0,0,0,0,0.41,0.46,0.19,0.61,0.1,0,0.25,0.37
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Doctoral or professional degree,64600,0.52,0.57,0.54,0.59,0,0,0,0,0,0,0,0,0.09,0,0.55,0.55,0.46,0.36,0.15,0.64,0.22,0.18,0.22,0.18,0,0.57,0.26,0.55,0.59,0.35,0,0.47,0.56
Critical Care Nurses,Bachelor's degree,77600,0.57,0.57,0.48,0.59,0.09,0.29,0,0,0.07,0,0,0.52,0.45,0.41,0.59,0.59,0.55,0.67,0.71,0.8,0.65,0.35,0.25,0.31,0,0.47,0.16,0.32,0.43,0.15,0,0.47,0.6
Crossing Guards and Flaggers,No formal educational credential,31450,0.36,0.23,0.27,0.36,0,0.05,0,0,0.21,0.16,0.11,0.29,0.27,0.13,0.37,0.37,0.34,0.14,0,0.28,0,0,0,0,0,0.19,0,0.2,0.19,0,0,0,0
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",High school diploma or equivalent,38760,0.41,0.41,0.41,0.43,0.36,0.43,0.41,0.43,0.25,0.27,0.29,0.45,0.45,0.52,0.43,0.43,0.46,0.15,0.1,0.23,0,0.26,0.3,0.68,0.22,0.29,0.09,0.16,0.21,0,0,0,0.08
Curators,Master's degree,60110,0.55,0.59,0.52,0.63,0,0.07,0,0,0,0,0,0.3,0.3,0.05,0.57,0.63,0.54,0.15,0,0.35,0,0,0,0.14,0.22,0.61,0.26,0.41,0.62,0.83,0.71,0.57,0.65
Customer Service Representatives,High school diploma or equivalent,36920,0.41,0.41,0.43,0.46,0,0,0,0,0,0,0,0.21,0.32,0.14,0.43,0.43,0.43,0,0,0.11,0,0,0,0,0,0.29,0.34,0.13,0.57,0,0,0,0
Customs and Border Protection Officers,High school diploma or equivalent,64610,0.5,0.45,0.43,0.55,0,0.13,0,0,0.29,0.2,0.16,0.32,0.41,0.37,0.57,0.57,0.48,0.27,0.21,0.59,0.28,0.17,0.14,0.19,0.11,0.4,0.22,0.3,0.5,0.35,0,0.41,0.46
Customs Brokers,Bachelor's degree,71650,0.43,0.52,0.45,0.55,0,0,0,0,0,0,0,0,0.18,0,0.45,0.46,0.48,0,0,0.25,0,0,0.17,0.07,0,0.56,0.56,0.41,0.72,0.12,0,0.14,0.14
"Cutters and Trimmers, Hand",No formal educational credential,30230,0.36,0.29,0.3,0.3,0,0.18,0,0,0.05,0,0,0.45,0.45,0.45,0.37,0.37,0.43,0,0,0,0,0.1,0.08,0.1,0,0.22,0,0,0,0,0,0,0
"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,37810,0.37,0.29,0.39,0.41,0.3,0.43,0.39,0.43,0.13,0.13,0.13,0.46,0.52,0.52,0.41,0.41,0.45,0,0,0,0,0.16,0.28,0.46,0,0.39,0,0.17,0.19,0,0,0,0
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,37630,0.39,0.32,0.37,0.39,0.21,0.41,0.36,0.39,0.11,0.14,0.21,0.46,0.45,0.5,0.43,0.43,0.43,0,0,0,0,0.2,0.38,0.57,0,0.25,0,0,0,0,0,0,0
Cytogenetic Technologists,Bachelor's degree,57800,0.46,0.48,0.48,0.57,0.13,0.16,0.09,0.13,0,0,0,0.45,0.45,0.41,0.59,0.59,0.57,0,0.35,0.1,0.7,0.18,0.29,0.36,0,0.4,0.12,0.3,0.43,0,0,0,0
Cytotechnologists,Doctoral or professional degree,57800,0.45,0.5,0.45,0.55,0.2,0.29,0.27,0.27,0,0,0,0.52,0.54,0.43,0.55,0.55,0.57,0.13,0.52,0.16,0.66,0.1,0.12,0.23,0,0.31,0.12,0.26,0.51,0,0,0,0
Dancers,No formal educational credential,39062,0.32,0.41,0.3,0.37,0,0,0,0,0.21,0.18,0,0.34,0.29,0.11,0.37,0.39,0.45,0.32,0.09,0.32,0,0,0,0,0,0.23,0.18,0,0.17,0.12,0.83,0,0.28
Data Entry Keyers,High school diploma or equivalent,35630,0.34,0.3,0.36,0.41,0.07,0,0,0,0,0,0,0.29,0.43,0.27,0.41,0.39,0.43,0,0,0.24,0,0.09,0.17,0,0,0.29,0,0,0.71,0.12,0,0,0.16
Data Warehousing Specialists,Bachelor's degree,123430,0.52,0.46,0.5,0.55,0,0.14,0,0,0,0,0,0,0,0,0.55,0.57,0.57,0,0,0.18,0,0,0.43,0,0,0.5,0.35,0.37,0.32,0,0,0,0
Database Administrators,Bachelor's degree,96710,0.57,0.55,0.57,0.59,0.27,0.45,0,0,0,0,0,0.27,0.36,0.25,0.55,0.59,0.57,0,0,0.4,0,0,0.33,0,0,0.46,0.24,0.28,0.5,0,0,0.32,0.36
Database Architects,Bachelor's degree,123430,0.54,0.52,0.57,0.61,0,0,0,0,0,0,0,0.2,0.2,0.14,0.55,0.63,0.57,0,0,0.19,0,0,0.6,0.11,0,0.47,0.29,0.29,0.34,0,0,0,0.1
Demonstrators and Product Promoters,No formal educational credential,32350,0.37,0.43,0.34,0.43,0,0.23,0,0,0,0,0,0.27,0.25,0.16,0.43,0.43,0.43,0,0,0.37,0.11,0,0.12,0,0,0.35,0.12,0.25,0.37,0,0,0,0.28
Dental Assistants,Postsecondary nondegree award,38660,0.37,0.45,0.41,0.45,0.25,0.27,0.2,0.18,0,0,0,0.48,0.45,0.45,0.43,0.46,0.43,0.25,0.68,0.35,0.24,0.08,0.2,0.15,0,0.52,0.28,0.44,0.52,0,0,0.12,0.15
Dental Hygienists,Associate's degree,77810,0.43,0.43,0.39,0.45,0.16,0.3,0.16,0.23,0,0,0,0.54,0.54,0.45,0.48,0.43,0.45,0.19,0.59,0.52,0.28,0.08,0,0.21,0,0.18,0,0.24,0.22,0,0,0.16,0.25
Dental Laboratory Technicians,High school diploma or equivalent,45770,0.36,0.43,0.39,0.45,0.32,0.29,0.27,0.2,0,0,0,0.52,0.57,0.55,0.43,0.43,0.45,0,0.63,0.23,0.25,0.38,0.6,0.53,0.24,0.49,0.23,0.34,0.4,0.11,0.49,0,0.12
"Dentists, General",Doctoral or professional degree,160370,0.59,0.64,0.59,0.63,0.3,0.21,0.09,0.13,0,0,0,0.66,0.68,0.8,0.75,0.7,0.57,0.34,0.81,0.58,0.53,0.38,0.38,0.48,0.18,0.49,0.38,0.51,0.42,0,0.1,0,0.22
Dermatologists,Doctoral or professional degree,208000,0.57,0.55,0.55,0.61,0,0.05,0,0,0,0,0,0.54,0.54,0.37,0.75,0.71,0.54,0.53,0.89,0.57,0.62,0.16,0.17,0.13,0,0.6,0.32,0.49,0.41,0,0,0.19,0.26
"Derrick Operators, Oil and Gas",No formal educational credential,47230,0.37,0.37,0.41,0.45,0.34,0.46,0.52,0.48,0.38,0.29,0.3,0.45,0.48,0.57,0.41,0.41,0.45,0.24,0.17,0.34,0.14,0.42,0.31,0.66,0.39,0.39,0.18,0.26,0.23,0,0,0,0.17
Desktop Publishers,Associate's degree,46910,0.43,0.43,0.52,0.55,0.23,0.18,0.18,0.14,0.05,0.05,0.07,0.36,0.37,0.34,0.43,0.52,0.55,0,0,0.19,0,0,0,0,0,0.36,0,0,0.53,0,0.32,0,0.18
Detectives and Criminal Investigators,High school diploma or equivalent,83640,0.54,0.53,0.55,0.59,0,0.16,0,0,0.28,0.27,0.23,0.35,0.37,0.39,0.6,0.6,0.53,0.45,0.25,0.7,0.24,0.24,0.19,0.22,0,0.51,0.22,0.44,0.58,0.26,0,0.35,0.47
Diagnostic Medical Sonographers,Associate's degree,77740,0.45,0.45,0.43,0.5,0.3,0.39,0.32,0.37,0,0,0,0.43,0.43,0.48,0.48,0.48,0.45,0.35,0.51,0.56,0.42,0.54,0.24,0.29,0,0.31,0.12,0.34,0.55,0.11,0,0.33,0.29
Dietetic Technicians,Associate's degree,29520,0.43,0.45,0.43,0.45,0,0.25,0,0,0,0.05,0,0.41,0.39,0.32,0.46,0.5,0.45,0.41,0.3,0.44,0.26,0,0.23,0.25,0.22,0.56,0.33,0.46,0.64,0,0,0.29,0.31
Dietitians and Nutritionists,Bachelor's degree,61650,0.57,0.59,0.59,0.59,0,0.09,0,0,0,0,0,0,0.23,0,0.59,0.59,0.57,0.7,0.55,0.69,0.65,0.15,0.16,0,0,0.51,0.35,0.4,0.6,0.11,0,0.33,0.58
Dining Room and Cafeteria Attendants and Bartender Helpers,No formal educational credential,27170,0.3,0.3,0.29,0.32,0,0.16,0,0,0,0,0,0.39,0.39,0.27,0.3,0.3,0.32,0,0.11,0.31,0,0,0,0.11,0,0.37,0.16,0.23,0.2,0,0,0,0.16
"Directors, Religious Activities and Education",Bachelor's degree,46980,0.48,0.54,0.54,0.55,0,0,0,0,0,0,0,0,0.18,0,0.52,0.55,0.45,0.6,0.2,0.61,0,0,0.07,0.11,0.12,0.6,0.3,0.49,0.54,0.29,0.3,0.86,0.5
Dishwashers,No formal educational credential,28130,0.3,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.21,0.14,0.14,0.41,0.34,0.32,0.29,0.29,0.3,0,0,0,0,0,0,0.12,0,0.37,0,0,0,0,0,0,0
"Dispatchers, Except Police, Fire, and Ambulance",High school diploma or equivalent,44050,0.41,0.41,0.43,0.54,0,0.09,0,0,0,0,0,0.16,0.3,0.27,0.45,0.52,0.43,0,0,0.38,0,0,0.15,0.18,0,0.61,0.26,0.45,0.66,0,0,0,0.24
Document Management Specialists,Bachelor's degree,95270,0.48,0.46,0.52,0.54,0,0,0,0,0,0,0,0.27,0.32,0.25,0.52,0.52,0.55,0.1,0,0.28,0,0,0.36,0.09,0.09,0.63,0.29,0.46,0.69,0.16,0,0.09,0.21
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",No formal educational credential,29390,0.41,0.37,0.32,0.45,0,0,0,0,0,0,0,0,0.11,0,0.41,0.41,0.41,0,0,0.38,0,0,0,0,0,0.48,0.26,0.36,0.53,0,0,0.11,0.18
Dredge Operators,High school diploma or equivalent,46210,0.37,0.3,0.36,0.39,0.36,0.37,0.34,0.34,0.37,0.27,0.23,0.45,0.41,0.57,0.34,0.37,0.41,0,0.11,0,0,0.32,0.34,0.72,0.33,0.48,0,0.16,0,0,0,0,0
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,38580,0.39,0.34,0.39,0.45,0.32,0.39,0.34,0.34,0.14,0.14,0.18,0.43,0.5,0.52,0.41,0.43,0.43,0,0,0.2,0,0.21,0.45,0.63,0.14,0.35,0.2,0.24,0.23,0,0,0,0
Driver/Sales Workers,High school diploma or equivalent,29280,0.39,0.3,0.41,0.48,0,0.2,0,0.11,0.29,0.29,0.29,0.32,0.41,0.43,0.41,0.43,0.43,0,0,0,0,0,0,0.27,0,0.39,0,0,0,0,0,0,0
Drywall and Ceiling Tile Installers,No formal educational credential,48040,0.36,0.29,0.36,0.37,0.27,0.27,0.16,0.2,0.2,0.13,0.11,0.45,0.46,0.43,0.39,0.41,0.41,0.18,0.15,0.25,0,0.24,0.42,0.47,0.76,0.42,0.2,0.3,0.29,0,0,0,0.1
"Earth Drillers, Except Oil and Gas",High school diploma or equivalent,48250,0.37,0.32,0.39,0.43,0.36,0.43,0.43,0.46,0.29,0.27,0.27,0.45,0.43,0.57,0.45,0.45,0.45,0.12,0.2,0.28,0.2,0.38,0.45,0.65,0.29,0.4,0.05,0.15,0.29,0.07,0,0,0
"Economics Teachers, Postsecondary",Doctoral or professional degree,104940,0.55,0.59,0.52,0.59,0,0,0,0,0,0,0,0,0.21,0,0.59,0.59,0.46,0.35,0,0.43,0,0,0,0,0,0.49,0.67,0.4,0.4,0.38,0,0.43,0.52
Economists,Master's degree,105630,0.57,0.57,0.59,0.64,0,0,0,0,0,0,0,0,0.13,0,0.61,0.63,0.52,0,0,0.39,0,0.17,0,0,0,0.48,0.75,0.3,0.25,0.39,0,0.29,0.5
Editors,Bachelor's degree,63350,0.48,0.55,0.45,0.57,0,0,0,0,0,0,0,0.2,0.36,0.11,0.52,0.54,0.52,0,0.09,0.28,0,0.1,0.14,0,0,0.52,0.16,0.44,0.56,0.41,0.13,0.35,0.41
"Education Administrators, Kindergarten through Secondary",Master's degree,98420,0.63,0.59,0.61,0.63,0,0.09,0,0,0,0,0,0.07,0.2,0,0.59,0.64,0.54,0.53,0.24,0.67,0.16,0,0.27,0.18,0.27,0.69,0.32,0.7,0.52,0.46,0.28,0.52,0.51
"Education Administrators, Postsecondary",Master's degree,96910,0.57,0.57,0.57,0.61,0,0,0,0,0,0,0,0,0.16,0,0.59,0.57,0.55,0.49,0.11,0.53,0,0.12,0.19,0,0,0.62,0.4,0.62,0.63,0.18,0.14,0.44,0.4
"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,47310,0.55,0.55,0.5,0.57,0,0.13,0,0,0,0,0,0.27,0.25,0.07,0.55,0.59,0.52,0.4,0.38,0.49,0.22,0.16,0.29,0.21,0.24,0.61,0.49,0.58,0.65,0.3,0.32,0.41,0.4
"Education Teachers, Postsecondary",Doctoral or professional degree,63910,0.57,0.61,0.57,0.57,0,0,0,0,0,0,0,0.11,0.16,0.07,0.59,0.61,0.48,0.4,0.15,0.7,0.21,0.07,0.11,0,0,0.59,0.15,0.58,0.41,0.33,0.1,0.66,0.72
"Educational, Guidance, and Career Counselors and Advisors",Master's degree,60510,0.57,0.55,0.54,0.57,0,0,0,0,0,0,0,0.05,0.14,0.05,0.57,0.57,0.45,0.85,0.14,0.64,0,0,0,0,0,0.44,0,0.2,0.6,0.12,0,0.46,0.54
"Electric Motor, Power Tool, and Related Repairers",High school diploma or equivalent,46910,0.43,0.45,0.43,0.48,0.43,0.55,0.57,0.54,0.27,0.18,0.3,0.5,0.57,0.54,0.46,0.46,0.48,0.12,0.09,0.18,0,0.37,0.42,0.72,0.29,0.41,0.13,0.16,0.28,0,0,0,0
Electrical and Electronic Engineering Technologists and Technicians,Associate's degree,63640,0.48,0.48,0.5,0.54,0.43,0.5,0.44,0,0,0,0,0.45,0.46,0.41,0.55,0.56,0.56,0,0,0.22,0,0.55,0.73,0.64,0.33,0.44,0.18,0.29,0.47,0,0,0,0
Electrical and Electronic Equipment Assemblers,High school diploma or equivalent,37460,0.37,0.39,0.36,0.43,0.21,0.29,0.25,0.21,0,0,0.05,0.52,0.54,0.45,0.45,0.43,0.45,0,0,0,0,0.16,0.26,0.47,0,0.21,0,0,0.08,0,0,0,0
Electrical and Electronics Drafters,Associate's degree,61510,0.42,0.45,0.45,0.5,0,0.08,0,0,0,0,0,0.29,0.38,0,0.5,0.51,0.48,0,0,0,0,0.32,0.73,0.34,0.25,0.35,0,0,0.58,0,0,0,0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",Postsecondary nondegree award,77250,0.41,0.34,0.43,0.43,0.32,0.46,0.45,0.43,0.14,0.13,0.14,0.5,0.5,0.45,0.43,0.43,0.45,0,0.11,0.42,0,0.45,0.67,0.65,0.36,0.43,0.31,0.32,0.46,0,0,0.18,0.22
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Postsecondary nondegree award,61730,0.43,0.43,0.55,0.54,0.46,0.55,0.55,0.54,0.14,0.14,0.18,0.46,0.55,0.45,0.52,0.55,0.57,0,0,0.34,0.14,0.45,0.61,0.77,0.33,0.54,0.18,0.26,0.41,0.09,0,0,0.14
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Postsecondary nondegree award,93420,0.43,0.43,0.43,0.48,0.32,0.57,0.57,0.57,0.25,0.14,0.18,0.46,0.45,0.46,0.43,0.43,0.45,0.15,0.22,0.41,0.16,0.6,0.64,0.78,0.57,0.43,0.14,0.32,0.34,0,0,0,0.22
Electrical Engineers,Bachelor's degree,100420,0.46,0.48,0.54,0.57,0.27,0.43,0.34,0.29,0,0,0,0.27,0.34,0.27,0.57,0.57,0.57,0,0,0.22,0,0.58,0.84,0.55,0.31,0.48,0.26,0.31,0.51,0,0,0.11,0
Electrical Power-Line Installers and Repairers,High school diploma or equivalent,78310,0.43,0.43,0.43,0.43,0.3,0.48,0.46,0.43,0.32,0.23,0.18,0.48,0.54,0.54,0.41,0.46,0.55,0.21,0.17,0.27,0,0.37,0.51,0.57,0.63,0.4,0.17,0.24,0.24,0,0,0,0
Electricians,High school diploma or equivalent,60040,0.46,0.46,0.45,0.52,0.41,0.57,0.52,0.48,0.29,0.21,0.27,0.43,0.48,0.45,0.52,0.55,0.55,0.1,0.09,0.28,0,0.51,0.41,0.73,0.78,0.48,0.12,0.25,0.34,0,0,0,0
Electro-Mechanical and Mechatronics Technologists and Technicians,Associate's degree,60360,0.45,0.43,0.45,0.54,0.43,0.55,0.54,0.55,0.27,0,0,0.54,0.55,0.55,0.5,0.55,0.55,0,0,0,0,0.43,0.57,0.66,0.25,0.15,0.06,0,0.21,0,0,0,0
Electromechanical Equipment Assemblers,High school diploma or equivalent,37460,0.34,0.3,0.3,0.41,0.29,0.45,0.39,0.41,0,0,0,0.48,0.54,0.46,0.43,0.43,0.52,0,0,0,0,0.21,0.46,0.53,0.17,0.17,0,0,0.14,0,0,0,0
"Electronic Equipment Installers and Repairers, Motor Vehicles",High school diploma or equivalent,40670,0.41,0.34,0.43,0.45,0.39,0.52,0.52,0.41,0.25,0.18,0.29,0.54,0.54,0.45,0.45,0.45,0.46,0,0,0,0,0.28,0.52,0.69,0.28,0.42,0.13,0.19,0.21,0,0,0,0
"Electronics Engineers, Except Computer",Bachelor's degree,104820,0.5,0.54,0.59,0.57,0.41,0.45,0.43,0.39,0,0,0,0.43,0.48,0.39,0.57,0.57,0.57,0.11,0.11,0.19,0,0.72,0.81,0.68,0.23,0.46,0.26,0.32,0.48,0.12,0,0.2,0.17
"Elementary School Teachers, Except Special Education",Bachelor's degree,61400,0.52,0.55,0.48,0.57,0.07,0,0,0,0,0,0.05,0.09,0.29,0,0.54,0.57,0.48,0.39,0.21,0.52,0.25,0.12,0.13,0,0,0.33,0.11,0.23,0.53,0.51,0.23,0.44,0.43
Elevator and Escalator Installers and Repairers,High school diploma or equivalent,97860,0.43,0.43,0.45,0.43,0.45,0.55,0.54,0.54,0.21,0.13,0.18,0.48,0.46,0.45,0.45,0.45,0.46,0,0.08,0.36,0,0.6,0.57,0.85,0.74,0.3,0.21,0.28,0.26,0,0,0,0
"Eligibility Interviewers, Government Programs",High school diploma or equivalent,47420,0.43,0.43,0.43,0.54,0,0,0,0,0,0,0,0.18,0.27,0.16,0.54,0.55,0.46,0.36,0.15,0.48,0,0,0,0,0,0.45,0.23,0.38,0.63,0,0,0.3,0.35
Embalmers,Associate's degree,47780,0.43,0.43,0.43,0.45,0.14,0.23,0.14,0.14,0.16,0.16,0.16,0.57,0.45,0.43,0.43,0.45,0.46,0.43,0.4,0.58,0.5,0.19,0.2,0.23,0,0.52,0.17,0.25,0.56,0,0,0.59,0.39
Emergency Management Directors,Bachelor's degree,76730,0.61,0.63,0.75,0.63,0,0.14,0,0,0.14,0.13,0.13,0.25,0.16,0.21,0.61,0.63,0.57,0.36,0.27,0.54,0.26,0.25,0.31,0.22,0.34,0.73,0.45,0.61,0.58,0.39,0,0.34,0.47
Endoscopy Technicians,High school diploma or equivalent,37740,0.43,0.43,0.37,0.46,0.3,0.39,0.34,0.41,0,0,0,0.46,0.45,0.46,0.43,0.45,0.46,0.19,0.46,0.36,0.37,0.18,0.24,0.36,0,0.32,0.25,0.33,0.44,0,0,0.2,0.21
Energy Auditors,High school diploma or equivalent,61640,0.5,0.46,0.46,0.54,0.18,0.29,0,0,0.25,0.23,0.2,0.41,0.39,0.41,0.55,0.55,0.52,0,0,0.26,0.17,0.56,0.56,0.58,0.69,0.45,0.39,0.31,0.62,0,0,0.14,0.19
"Energy Engineers, Except Wind and Solar",Bachelor's degree,100640,0.57,0.55,0.57,0.59,0,0.23,0,0,0,0,0,0,0.18,0.18,0.59,0.59,0.57,0,0,0.36,0.27,0.6,0.79,0.64,0.67,0.66,0.55,0.45,0.49,0.14,0,0.15,0.22
Engine and Other Machine Assemblers,High school diploma or equivalent,47440,0.36,0.32,0.32,0.43,0.32,0.43,0.41,0.41,0.29,0.16,0.16,0.45,0.46,0.46,0.43,0.43,0.43,0,0,0.16,0,0.26,0.45,0.68,0.28,0.42,0,0.22,0.23,0,0,0,0
"Engineering Teachers, Postsecondary",Doctoral or professional degree,104940,0.57,0.59,0.48,0.59,0,0.07,0,0,0,0,0,0.09,0.18,0,0.61,0.61,0.59,0,0.17,0.34,0,0.77,0.92,0.69,0,0.61,0.44,0,0.57,0,0,0,0
"English Language and Literature Teachers, Postsecondary",Doctoral or professional degree,75930,0.54,0.57,0.5,0.57,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.5,0.38,0,0.52,0.18,0,0,0,0,0.5,0,0.43,0.52,0.67,0.44,0.8,0.66
Environmental Compliance Inspectors,Bachelor's degree,71650,0.55,0.59,0.59,0.61,0,0.29,0,0,0.14,0.13,0.18,0.27,0.34,0.36,0.68,0.68,0.57,0,0.14,0.19,0.51,0.39,0.44,0.38,0.37,0.46,0.14,0.24,0.44,0.14,0,0.13,0.14
Environmental Economists,Master's degree,105630,0.57,0.57,0.55,0.61,0,0,0,0,0,0,0,0,0.11,0,0.57,0.57,0.45,0,0.12,0.45,0.48,0.29,0.24,0,0,0.41,0.76,0.31,0.33,0.31,0,0.29,0.48
Environmental Engineering Technologists and Technicians,Associate's degree,48390,0.52,0.55,0.48,0.57,0.32,0.37,0.32,0.29,0.25,0.18,0.18,0.43,0.41,0.43,0.57,0.55,0.57,0,0,0.18,0.55,0.52,0.61,0.61,0.51,0.46,0.19,0.3,0.45,0.16,0,0,0.09
Environmental Engineers,Bachelor's degree,96820,0.61,0.59,0.59,0.61,0,0.21,0,0,0,0,0,0,0.16,0,0.64,0.61,0.57,0.1,0.12,0.25,0.6,0.66,0.83,0.56,0.56,0.62,0.34,0.44,0.31,0.22,0,0,0.23
Environmental Restoration Planners,Bachelor's degree,76530,0.57,0.57,0.57,0.59,0.07,0.11,0,0,0.14,0.16,0.11,0.25,0.3,0.29,0.61,0.61,0.59,0,0,0.23,0.77,0.48,0.63,0.27,0.5,0.64,0.45,0.42,0.48,0.47,0,0.16,0.31
"Environmental Science and Protection Technicians, Including Health",Associate's degree,47370,0.48,0.45,0.48,0.54,0.27,0.37,0.29,0.3,0.29,0.23,0.16,0.41,0.39,0.39,0.55,0.55,0.54,0.12,0.23,0.34,0.65,0.54,0.58,0.51,0.55,0.53,0.34,0.38,0.56,0.34,0,0.16,0.31
"Environmental Science Teachers, Postsecondary",Doctoral or professional degree,81980,0.55,0.61,0.55,0.61,0,0.07,0,0,0,0,0,0,0.09,0,0.59,0.59,0.54,0.33,0.23,0.39,0.77,0.55,0.57,0.43,0.19,0.54,0.35,0.51,0.56,0.42,0.16,0.32,0.4
"Environmental Scientists and Specialists, Including Health",Bachelor's degree,76530,0.55,0.57,0.57,0.59,0,0.29,0,0,0.2,0.16,0.13,0.25,0.32,0.29,0.66,0.59,0.54,0.1,0.16,0.23,0.59,0.48,0.49,0.41,0.37,0.51,0.28,0.27,0.66,0.17,0,0.16,0.21
Epidemiologists,Master's degree,78830,0.61,0.66,0.63,0.68,0,0,0,0,0,0,0,0,0.23,0,0.7,0.66,0.55,0.2,0.51,0.54,0.67,0,0.14,0,0,0.6,0.24,0.44,0.58,0.19,0,0.3,0.62
Equal Opportunity Representatives and Officers,Bachelor's degree,71650,0.54,0.57,0.52,0.64,0,0,0,0,0,0,0,0,0.25,0,0.57,0.63,0.54,0.42,0.11,0.5,0,0,0,0,0,0.53,0.22,0.65,0.57,0.33,0,0.42,0.62
Etchers and Engravers,High school diploma or equivalent,36590,0.37,0.32,0.32,0.45,0.32,0.34,0.2,0.3,0.11,0.09,0.09,0.57,0.52,0.54,0.41,0.43,0.45,0,0,0,0,0,0.43,0.48,0,0.44,0,0.25,0.33,0,0.28,0,0
"Excavating and Loading Machine and Dragline Operators, Surface Mining",High school diploma or equivalent,46740,0.39,0.41,0.41,0.43,0.41,0.43,0.45,0.45,0.41,0.45,0.41,0.45,0.45,0.57,0.41,0.43,0.41,0.09,0,0.22,0.12,0.23,0.31,0.54,0.52,0.33,0.09,0.16,0.13,0,0,0,0
Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,62060,0.41,0.45,0.43,0.54,0,0,0,0,0,0,0,0.13,0.32,0.11,0.45,0.45,0.45,0.08,0,0.21,0,0,0,0.08,0,0.47,0.28,0.38,0.86,0,0,0.19,0.17
Exercise Physiologists,Bachelor's degree,47940,0.55,0.55,0.5,0.57,0.18,0.18,0,0,0,0,0,0.37,0.29,0.29,0.64,0.57,0.52,0.61,0.55,0.59,0.55,0.34,0.14,0.25,0,0.45,0.23,0.3,0.53,0,0,0.18,0.41
Exercise Trainers and Group Fitness Instructors,High school diploma or equivalent,40700,0.41,0.41,0.39,0.45,0.14,0.23,0,0.13,0,0.14,0,0.41,0.3,0.14,0.43,0.43,0.43,0.35,0.31,0.46,0.34,0.2,0,0.16,0,0.36,0.25,0.31,0.35,0,0.18,0,0.29
"Explosives Workers, Ordnance Handling Experts, and Blasters",High school diploma or equivalent,53040,0.46,0.45,0.46,0.5,0.34,0.41,0.32,0.32,0.34,0.21,0.27,0.5,0.5,0.54,0.54,0.54,0.57,0.12,0.15,0.29,0.12,0.36,0.55,0.57,0.42,0.51,0.3,0.4,0.5,0,0,0.1,0.13
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,37750,0.39,0.32,0.37,0.39,0.36,0.39,0.41,0.37,0.21,0.25,0.2,0.43,0.46,0.5,0.37,0.43,0.43,0,0,0,0,0,0.27,0.29,0,0.41,0.13,0.17,0.22,0,0,0,0
