"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Law Teachers, Postsecondary",0.7,0.32,0.73,0.11,0.71,0.71,0.68,0.7,0.64,0.54,0.54,0,0.09,0.39,0.45,0.43,0.63,0.45,0.54,0.43,0.45,0.59,0.45,0.5,0,0.07,0.11,0,0,0.11,0,0.07,0,0,0.18,0.29,0.36,0.52,0.54,0.54,0.7,0.64,0.52,0.52,0.32,0.32,0.34,0.3,0.3,0,0.21,0.71,0.77,0.73,0.71,0.45,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.13,0,0,0.09,0,0.77,0.18,0.55,0,0.11,0.34,0,0,0,0.11,0,0.63,0.87,0.41,0.22,0.51,0.09,0.48,0.33,0.53,0.42,0.48,0.3,0.55,0.14,0,0.16,0,0.12,0.61,0.87,0.38,0.11,0.27,0.88,0,0,0.3,0,0.41,0,0.51,0,0.43,0.12
"Lawyers",0.68,0.3,0.7,0.13,0.7,0.7,0.61,0.7,0.45,0.54,0.57,0.29,0.25,0.43,0.57,0.48,0.45,0.61,0.64,0.54,0.57,0.61,0.5,0.46,0,0,0.14,0,0,0.11,0,0.09,0,0.05,0.34,0.37,0.43,0.57,0.55,0.54,0.63,0.61,0.54,0.55,0.36,0.43,0.37,0.36,0.34,0,0.36,0.71,0.71,0.71,0.71,0.45,0,0,0,0,0,0,0,0.09,0,0,0.11,0,0,0.05,0.29,0.05,0,0.07,0,0.64,0.27,0.48,0,0.16,0.41,0,0,0.13,0.29,0,0.66,0.78,0.22,0,0.25,0,0.65,0.47,0.74,0.62,0.38,0.24,0.45,0,0.11,0.15,0,0,0.58,0.5,0.33,0.16,0.31,0.78,0,0.21,0.24,0,0.46,0,0.31,0,0.27,0.21
"Layout Workers, Metal and Plastic",0.41,0.45,0.41,0,0.36,0.41,0.37,0.45,0.29,0.43,0.41,0.07,0.07,0.32,0.36,0.43,0.36,0.23,0.25,0.29,0.39,0.39,0.27,0.27,0.13,0.41,0.09,0.29,0.29,0,0.29,0.39,0.29,0.39,0.29,0.36,0.45,0.46,0.39,0.32,0.45,0.43,0.46,0.45,0.45,0.43,0.3,0.43,0.41,0.18,0.55,0.36,0.45,0.5,0.43,0.29,0.07,0.16,0.43,0.29,0.13,0.39,0.3,0.41,0.29,0.29,0.39,0.43,0.27,0.46,0.45,0.45,0.18,0.27,0.36,0.32,0.45,0.32,0.13,0.25,0.43,0.25,0.09,0.39,0.37,0.11,0.55,0.53,0,0,0,0,0.39,0.15,0.46,0.27,0.28,0.23,0.2,0.17,0.6,0.59,0.57,0.65,0.44,0.47,0,0,0.35,0.17,0,0.49,0.19,0.25,0.6,0.33,0,0,0.24,0.33
"Legal Secretaries and Administrative Assistants",0.57,0.29,0.55,0,0.46,0.55,0.39,0.45,0.29,0.43,0.37,0,0,0.25,0.45,0.37,0.27,0.32,0.32,0.43,0.41,0.37,0.3,0.27,0,0.23,0,0,0,0.07,0,0.14,0,0,0,0.29,0.3,0.45,0.37,0.32,0.43,0.41,0.43,0.43,0.3,0.3,0.29,0.29,0.27,0,0.27,0.54,0.57,0.55,0.55,0.21,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0.13,0.25,0.11,0,0.27,0,0.43,0.18,0.54,0,0.16,0.37,0,0,0,0.18,0,0.64,0.61,0,0.12,0.2,0,0.37,0,0.5,0,0.82,0,0.25,0.13,0,0,0,0.09,0.54,0.25,0,0,0.24,0.56,0,0,0.23,0,0.32,0,0.24,0,0.28,0.22
"Librarians and Media Collections Specialists",0.54,0.29,0.54,0,0.52,0.53,0.5,0.53,0.48,0.49,0.44,0.31,0.37,0.42,0.44,0.44,0.48,0.35,0.37,0.46,0.46,0.46,0.44,0.43,0,0,0.2,0,0,0,0,0.29,0,0,0.3,0.36,0.42,0.5,0.47,0.45,0.52,0.5,0.52,0.54,0.4,0.44,0.41,0.31,0.31,0,0.46,0.54,0.58,0.59,0.58,0.38,0,0.07,0.09,0.07,0,0.2,0,0.21,0.07,0,0.27,0.22,0,0.33,0.38,0.29,0,0,0,0.5,0.29,0.48,0,0.28,0.47,0,0,0.16,0.43,0,0.54,0.67,0.31,0,0,0.29,0.55,0.26,0.76,0.37,0.61,0.43,0.47,0.36,0,0.26,0.18,0.31,0.74,0.75,0.17,0,0.35,0.26,0,0.33,0,0.17,0.47,0,0.28,0,0.35,0
"Library Assistants, Clerical",0.43,0.3,0.46,0,0.43,0.43,0.3,0.41,0.3,0.39,0.3,0.16,0.23,0.3,0.36,0.41,0.36,0.3,0.3,0.43,0.39,0.32,0.27,0.25,0,0.18,0.05,0,0,0.07,0,0.14,0,0,0,0.3,0.37,0.41,0.3,0.29,0.37,0.39,0.43,0.45,0.37,0.37,0.3,0.32,0.27,0.16,0.32,0.43,0.54,0.5,0.45,0.32,0,0.2,0.32,0.16,0,0.29,0.18,0.29,0.14,0,0.2,0.25,0,0.3,0.3,0.3,0,0.09,0,0.43,0.3,0.45,0,0.27,0.39,0,0,0.07,0.27,0,0.52,0.46,0.34,0.14,0.42,0.12,0.25,0.14,0.52,0.18,0.51,0.26,0.35,0.15,0,0,0.1,0.12,0.48,0.45,0.2,0.12,0.37,0.24,0,0.18,0.38,0.08,0.34,0,0.36,0,0.39,0.15
"Library Science Teachers, Postsecondary",0.66,0.32,0.71,0.3,0.68,0.68,0.63,0.59,0.63,0.59,0.54,0.18,0.2,0.41,0.5,0.46,0.59,0.37,0.39,0.41,0.52,0.54,0.48,0.48,0,0.11,0.11,0,0,0.11,0,0.07,0,0,0.23,0.34,0.41,0.52,0.45,0.43,0.59,0.57,0.52,0.55,0.32,0.41,0.32,0.32,0.34,0,0.29,0.7,0.7,0.71,0.71,0.41,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0.13,0,0,0,0,0.68,0.14,0.52,0,0.11,0.43,0,0,0.09,0.13,0,0.57,0.89,0.49,0,0.5,0.19,0.49,0.14,0.68,0.5,0.48,0.29,0.61,0.41,0,0.19,0,0.23,0.71,0.91,0.32,0,0.31,0.43,0,0.16,0.41,0,0.54,0,0.7,0,0.57,0
"Library Technicians",0.45,0.3,0.55,0,0.43,0.43,0.41,0.46,0.41,0.41,0.29,0.14,0.2,0.37,0.37,0.43,0.41,0.21,0.29,0.46,0.41,0.36,0.29,0.27,0,0.07,0.07,0,0.09,0.11,0.11,0.14,0,0.13,0.14,0.29,0.39,0.43,0.3,0.3,0.43,0.41,0.43,0.43,0.37,0.43,0.29,0.3,0.29,0.16,0.29,0.43,0.55,0.55,0.54,0.36,0.05,0.16,0.39,0.16,0,0.29,0.25,0.29,0.16,0,0.27,0.29,0,0.27,0.34,0.3,0,0.16,0,0.46,0.29,0.43,0,0.21,0.41,0,0,0,0.29,0,0.52,0.48,0.21,0.09,0.21,0.18,0.28,0.22,0.62,0.19,0.61,0.24,0.36,0.13,0,0.14,0.07,0.17,0.51,0.46,0,0.09,0.29,0.18,0,0.15,0.32,0.13,0.35,0,0.25,0,0.35,0
"Licensed Practical and Licensed Vocational Nurses",0.57,0.41,0.59,0.37,0.57,0.45,0.46,0.57,0.45,0.57,0.43,0.09,0.16,0.41,0.46,0.57,0.45,0.43,0.41,0.57,0.61,0.46,0.41,0.41,0,0.25,0.14,0,0,0,0.14,0.36,0,0.29,0.21,0.43,0.43,0.59,0.43,0.41,0.57,0.54,0.45,0.52,0.43,0.43,0.41,0.41,0.34,0,0.41,0.52,0.59,0.59,0.59,0.39,0,0.29,0.43,0.37,0.29,0.43,0.29,0.45,0.39,0.3,0.43,0.43,0.16,0.43,0.43,0.43,0.23,0.27,0.29,0.5,0.39,0.52,0,0.36,0.43,0,0,0.29,0.41,0,0.55,0.53,0,0.18,0.29,0,0.48,0.15,0.66,0.23,0.47,0.13,0.28,0.24,0,0,0.09,0,0.46,0.48,0.43,0.52,0.36,0.26,0,0.1,0,0.27,0.44,0.12,0.3,0.34,0.79,0.15
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.45,0.09,0.41,0.09,0.43,0.37,0.39,0.43,0.43,0.5,0.37,0,0,0.29,0.27,0.41,0.36,0.29,0.36,0.45,0.46,0.43,0.16,0.2,0,0.21,0,0.07,0,0,0.11,0.18,0,0.07,0,0.43,0.46,0.59,0.32,0.29,0.45,0.43,0.34,0.41,0.43,0.52,0.43,0.14,0.11,0.23,0.29,0.37,0.57,0.54,0.41,0.32,0.07,0.27,0.37,0.41,0.2,0.5,0.3,0.43,0.43,0.29,0.16,0.34,0.14,0.32,0.21,0.3,0.27,0,0.3,0.46,0.36,0.43,0.2,0.27,0.54,0.2,0,0.3,0.25,0.16,0.43,0.41,0,0.23,0.19,0,0.41,0,0.68,0.28,0.32,0.19,0.27,0.2,0,0,0.28,0,0.29,0.47,0.34,0.37,0.5,0.26,0,0.17,0.24,0.42,0.24,0.21,0.26,0.29,0.46,0
"Light Truck Drivers",0.41,0.3,0.39,0,0.39,0.36,0.3,0.41,0.25,0.36,0.29,0.16,0.16,0.23,0.41,0.27,0.23,0.23,0.27,0.34,0.32,0.3,0.2,0.18,0,0.32,0.05,0.2,0.29,0,0.27,0.36,0.29,0.43,0.11,0.43,0.41,0.39,0.23,0.25,0.39,0.36,0.36,0.39,0.36,0.3,0.32,0.29,0.25,0.45,0.39,0.32,0.54,0.46,0.43,0.21,0,0.16,0.41,0.32,0,0.52,0.32,0.45,0.32,0.45,0.43,0.43,0.37,0.36,0.34,0.41,0.29,0.25,0.43,0.39,0.32,0.43,0.29,0.34,0.48,0.29,0.27,0.39,0.36,0.29,0.45,0.37,0,0.07,0,0,0.32,0.14,0.59,0.16,0.18,0.3,0.21,0.17,0,0,0.35,0.12,0.24,0.29,0.11,0,0.39,0.38,0,0.2,0.24,0.09,0.28,0.14,0.09,0,0.19,0.48
"Loading and Moving Machine Operators, Underground Mining",0.39,0.09,0.36,0,0.36,0.25,0.25,0.39,0.18,0.36,0.36,0.09,0.07,0.21,0.29,0.41,0.36,0.27,0.27,0.27,0.32,0.29,0,0,0,0.36,0,0.29,0.45,0,0.43,0.46,0.45,0.48,0.14,0.39,0.43,0.39,0.16,0.18,0.37,0.37,0.45,0.43,0.37,0.32,0.3,0.09,0.11,0,0.43,0.25,0.43,0.43,0.39,0.2,0,0.27,0.48,0.39,0,0.45,0.34,0.45,0.36,0.43,0.54,0.48,0.43,0.46,0.41,0.5,0.37,0.25,0.52,0.39,0,0.36,0.2,0.37,0.43,0.25,0.34,0.5,0.32,0.3,0.45,0.44,0,0,0.16,0,0.37,0.21,0.28,0.24,0.2,0.21,0.15,0.2,0.27,0.47,0.65,0.4,0.21,0.61,0.18,0.28,0.48,0.45,0,0.44,0.39,0.29,0.34,0.27,0,0,0.22,0.39
"Loan Interviewers and Clerks",0.57,0.45,0.57,0,0.57,0.55,0.5,0.57,0.39,0.43,0.43,0.18,0,0.32,0.45,0.43,0.43,0.43,0.45,0.46,0.45,0.54,0.39,0.37,0,0.14,0.11,0,0,0.16,0.09,0.23,0,0,0.3,0.36,0.43,0.48,0.43,0.39,0.54,0.5,0.46,0.52,0.39,0.41,0.39,0.46,0.46,0,0.34,0.55,0.59,0.59,0.57,0.39,0,0,0,0,0,0,0,0.11,0,0,0.07,0,0,0.05,0.3,0.05,0,0.07,0,0.48,0.29,0.57,0,0.29,0.39,0,0,0.07,0.25,0,0.55,0.63,0,0,0,0,0.51,0.49,0.62,0.33,0.66,0.47,0.3,0.1,0,0,0,0,0.52,0.47,0,0,0.18,0.53,0,0.28,0,0,0.52,0,0,0,0,0
"Loan Officers",0.57,0.45,0.57,0,0.57,0.55,0.45,0.57,0.37,0.43,0.45,0.18,0.16,0.41,0.46,0.43,0.39,0.43,0.43,0.5,0.43,0.55,0.34,0.32,0,0.09,0.13,0,0,0.13,0,0.13,0,0,0.2,0.3,0.34,0.5,0.37,0.36,0.55,0.55,0.43,0.45,0.3,0.34,0.3,0.5,0.45,0,0.16,0.57,0.59,0.59,0.57,0.29,0,0,0,0,0,0,0,0.09,0,0,0.13,0,0,0.14,0.23,0.14,0,0,0,0.52,0.25,0.57,0,0.16,0.21,0,0,0.07,0.16,0,0.64,0.54,0.13,0.14,0.2,0,0.55,0.6,0.8,0.38,0.49,0.63,0.33,0.13,0.15,0,0,0,0.51,0.48,0,0,0.25,0.52,0,0.34,0.16,0,0.6,0,0.21,0,0.3,0.15
"Locker Room, Coatroom, and Dressing Room Attendants",0.41,0.05,0.34,0,0.39,0.3,0.29,0.39,0.05,0.34,0.29,0,0,0.2,0.3,0.34,0.23,0.29,0.32,0.37,0.37,0.32,0,0.05,0,0,0,0,0,0,0,0.09,0,0.07,0,0.23,0.3,0.41,0.23,0.13,0.37,0.34,0.32,0.37,0.13,0.14,0.13,0.05,0,0,0.07,0.32,0.46,0.43,0.41,0.14,0,0.14,0.41,0.18,0,0.18,0.09,0.34,0.25,0,0.2,0.16,0,0.23,0.2,0.21,0.07,0,0,0.39,0.07,0.43,0,0,0.29,0,0,0,0.16,0,0.43,0.37,0.08,0.08,0,0,0.24,0.14,0.55,0.14,0.25,0.22,0.25,0.12,0,0,0.11,0,0.21,0.26,0.13,0.13,0.26,0.09,0.13,0.1,0.14,0.18,0.24,0.08,0.11,0,0.24,0.12
"Locksmiths and Safe Repairers",0.43,0.3,0.43,0,0.43,0.34,0.41,0.45,0.32,0.39,0.41,0.18,0.2,0.3,0.41,0.37,0.3,0.3,0.32,0.32,0.36,0.39,0.32,0.3,0.29,0.43,0.18,0.3,0.43,0.11,0.43,0.34,0.45,0.43,0,0.3,0.41,0.43,0.34,0.34,0.43,0.43,0.43,0.46,0.39,0.41,0.37,0.3,0.29,0.27,0.54,0.37,0.5,0.45,0.43,0.32,0,0.21,0.45,0.29,0.16,0.41,0.27,0.43,0.2,0.29,0.48,0.43,0.29,0.54,0.54,0.45,0.11,0.36,0.41,0.43,0.3,0.43,0.18,0.3,0.34,0.29,0.16,0.43,0.39,0.16,0.61,0.51,0,0.18,0.15,0,0.5,0.31,0.66,0.4,0.48,0.54,0.29,0.29,0.42,0.4,0.73,0.4,0.5,0.53,0.17,0,0.59,0.44,0,0.29,0.19,0.14,0.42,0.24,0.11,0,0.2,0.29
"Locomotive Engineers",0.46,0.37,0.5,0.05,0.43,0.41,0.43,0.45,0.43,0.54,0.43,0.13,0.13,0.36,0.39,0.43,0.37,0.25,0.25,0.27,0.37,0.43,0.32,0.3,0,0.43,0,0.11,0.2,0,0.37,0.57,0.2,0.59,0.16,0.5,0.57,0.48,0.29,0.29,0.45,0.45,0.39,0.46,0.54,0.5,0.41,0.36,0.32,0.45,0.43,0.39,0.55,0.55,0.45,0.32,0,0.21,0.3,0.29,0.07,0.37,0.29,0.36,0.21,0.57,0.57,0.55,0.54,0.43,0.43,0.43,0.32,0.36,0.63,0.43,0.57,0.43,0.3,0.41,0.64,0.41,0.36,0.5,0.41,0.39,0.48,0.49,0,0,0,0,0.37,0.07,0.41,0.26,0.26,0,0.18,0.19,0,0.23,0.43,0,0.33,0.47,0.16,0.14,0.55,0.27,0,0.16,0.31,0.2,0.32,0.19,0,0,0.22,0.69
"Lodging Managers",0.57,0.41,0.55,0,0.57,0.57,0.55,0.55,0.52,0.54,0.46,0.5,0.52,0.57,0.55,0.54,0.54,0.57,0.57,0.59,0.55,0.54,0.43,0.5,0,0.34,0.14,0.11,0.11,0.13,0.21,0.3,0.11,0.29,0.14,0.41,0.45,0.54,0.5,0.52,0.55,0.46,0.43,0.45,0.41,0.43,0.43,0.39,0.39,0.23,0.37,0.57,0.57,0.57,0.57,0.39,0,0.2,0.2,0.2,0.14,0.18,0.2,0.29,0.2,0.23,0.29,0.29,0.21,0.32,0.27,0.25,0,0.16,0.21,0.55,0.29,0.57,0.11,0.3,0.43,0.11,0.09,0.27,0.27,0.13,0.54,0.61,0,0.2,0.36,0,0.67,0.49,0.71,0.7,0.71,0.69,0.49,0.36,0,0.31,0.23,0.21,0.68,0.66,0.29,0.18,0.51,0.4,0.33,0.32,0.3,0.28,0.56,0,0.38,0,0.53,0.29
"Log Graders and Scalers",0.41,0.39,0.41,0.11,0.41,0.43,0.39,0.43,0.3,0.43,0.39,0.13,0.21,0.27,0.41,0.43,0.36,0.37,0.39,0.36,0.39,0.43,0.32,0.3,0,0.36,0.05,0.14,0.14,0.07,0.2,0.37,0.11,0.32,0.09,0.41,0.43,0.43,0.34,0.3,0.43,0.43,0.54,0.43,0.45,0.46,0.34,0.43,0.41,0.29,0.43,0.41,0.5,0.48,0.43,0.21,0,0.2,0.32,0.3,0.16,0.39,0.27,0.34,0.3,0.32,0.45,0.45,0.3,0.39,0.39,0.39,0.25,0.18,0.34,0.41,0.45,0.41,0.13,0.27,0.45,0.2,0.13,0.41,0.45,0.14,0.55,0.33,0,0,0,0,0.39,0.21,0.41,0.26,0.3,0.29,0.18,0.09,0.18,0.22,0.39,0.17,0.36,0.41,0.1,0.07,0.21,0.19,0,0.56,0.26,0.17,0.47,0.14,0,0.17,0.19,0.34
"Logging Equipment Operators",0.32,0.27,0.32,0.07,0.32,0.34,0.3,0.39,0.29,0.43,0.3,0.14,0.14,0.32,0.39,0.39,0.32,0.3,0.3,0.3,0.32,0.36,0.29,0.3,0,0.43,0,0.29,0.43,0,0.43,0.55,0.43,0.57,0.07,0.3,0.41,0.41,0.29,0.3,0.39,0.34,0.43,0.43,0.45,0.34,0.29,0.29,0.29,0.41,0.43,0.32,0.43,0.41,0.3,0.29,0,0.25,0.39,0.27,0.11,0.41,0.3,0.32,0.27,0.52,0.57,0.57,0.46,0.45,0.36,0.45,0.25,0.29,0.59,0.37,0.48,0.36,0.3,0.41,0.5,0.34,0.29,0.52,0.43,0.39,0.45,0.16,0,0,0,0,0.3,0,0.19,0.11,0,0,0,0,0,0.25,0.66,0,0,0.21,0,0,0.42,0.18,0,0.53,0.29,0,0.16,0.25,0,0,0.14,0.34
"Logisticians",0.59,0.48,0.59,0.13,0.57,0.54,0.5,0.59,0.5,0.66,0.55,0.32,0.37,0.54,0.54,0.61,0.43,0.5,0.52,0.48,0.52,0.57,0.55,0.55,0,0.32,0.11,0,0,0.25,0,0.23,0,0,0.57,0.32,0.37,0.59,0.54,0.55,0.66,0.57,0.5,0.55,0.39,0.43,0.39,0.5,0.48,0,0.45,0.55,0.59,0.63,0.57,0.41,0,0,0,0,0,0,0.07,0.16,0,0,0,0,0,0,0.27,0,0,0.07,0,0.55,0.27,0.55,0,0.21,0.46,0,0,0.05,0.25,0,0.55,0.6,0.17,0.3,0.18,0,0.73,0.54,0.75,0.57,0.63,0.65,0.36,0.27,0.2,0.39,0.29,0.33,0.54,0.61,0.18,0,0.52,0.47,0.15,0.6,0.57,0.23,0.65,0.17,0.27,0.17,0.33,0.7
"Logistics Analysts",0.57,0.54,0.57,0.11,0.48,0.57,0.54,0.59,0.43,0.57,0.57,0.36,0.32,0.41,0.48,0.45,0.41,0.41,0.41,0.41,0.43,0.57,0.57,0.55,0,0.32,0.25,0,0,0.25,0.07,0.29,0,0,0.37,0.34,0.46,0.55,0.54,0.54,0.57,0.57,0.54,0.57,0.43,0.48,0.41,0.55,0.55,0,0.41,0.57,0.57,0.57,0.57,0.39,0,0,0,0,0,0,0,0.09,0,0,0.11,0,0,0.09,0.23,0.09,0,0,0,0.46,0.3,0.5,0,0.23,0.39,0,0,0.13,0.29,0,0.55,0.61,0.14,0.26,0.18,0,0.59,0.38,0.61,0.38,0.62,0.23,0.4,0.31,0.14,0.4,0.25,0.26,0.68,0.58,0.12,0,0.42,0.45,0,0.53,0.52,0.13,0.71,0.18,0.23,0.1,0.25,0.53
"Logistics Engineers",0.59,0.57,0.63,0.41,0.57,0.59,0.55,0.61,0.5,0.55,0.57,0.41,0.41,0.52,0.55,0.52,0.43,0.41,0.45,0.43,0.5,0.57,0.61,0.59,0,0.41,0.32,0,0.11,0.32,0.3,0.37,0.11,0.11,0.54,0.41,0.45,0.61,0.57,0.57,0.61,0.59,0.55,0.57,0.43,0.46,0.39,0.55,0.55,0,0.52,0.57,0.59,0.63,0.61,0.39,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.27,0.11,0,0,0,0.57,0.3,0.55,0,0.3,0.43,0,0,0.27,0.36,0,0.57,0.63,0,0.19,0,0,0.59,0.43,0.61,0.41,0.47,0.39,0.28,0.32,0.19,0.72,0.58,0.64,0.6,0.55,0,0,0.44,0.42,0,0.51,0.35,0.24,0.7,0.2,0.19,0,0.22,0.56
"Loss Prevention Managers",0.57,0.39,0.57,0,0.57,0.55,0.54,0.57,0.46,0.57,0.55,0.3,0.34,0.57,0.55,0.52,0.55,0.48,0.55,0.54,0.54,0.57,0.57,0.55,0,0.34,0.16,0,0,0.11,0.18,0.41,0,0.25,0.32,0.37,0.52,0.57,0.5,0.52,0.55,0.55,0.43,0.45,0.43,0.5,0.43,0.43,0.41,0,0.39,0.57,0.57,0.57,0.57,0.32,0,0.27,0.18,0.29,0.2,0.27,0.2,0.3,0.29,0.21,0.21,0.3,0,0.16,0.27,0.27,0.2,0.07,0.18,0.55,0.3,0.55,0,0.3,0.48,0,0,0.25,0.34,0,0.57,0.63,0,0.25,0.19,0,0.67,0.4,0.65,0.6,0.57,0.34,0.4,0.36,0.4,0.36,0.31,0.38,0.57,0.73,0.31,0.17,0.66,0.58,0.19,0.28,0.29,0.14,0.59,0.21,0.4,0.1,0.62,0.31
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.57,0.27,0.57,0.2,0.57,0.57,0.55,0.55,0.55,0.57,0.5,0,0.11,0.41,0.45,0.45,0.54,0.43,0.45,0.5,0.57,0.48,0.45,0.45,0,0.2,0.23,0,0,0.07,0.09,0.32,0,0.29,0.11,0.41,0.43,0.59,0.48,0.48,0.55,0.55,0.46,0.55,0.41,0.43,0.37,0.29,0.37,0.2,0.41,0.57,0.59,0.59,0.57,0.41,0,0.2,0.25,0.3,0,0.27,0.25,0.3,0.25,0.09,0.27,0.29,0.09,0.27,0.18,0.09,0.11,0,0.09,0.45,0.32,0.46,0.07,0.32,0.43,0.14,0.11,0.29,0.32,0.07,0.55,0.63,0.13,0.21,0.42,0,0.35,0.09,0.64,0.17,0.43,0.2,0.29,0.13,0,0.17,0.12,0.11,0.52,0.7,0.58,0.29,0.46,0.36,0,0,0.38,0,0.27,0,0.52,0.12,0.63,0.45
"Machine Feeders and Offbearers",0.37,0.23,0.41,0,0.37,0.29,0.29,0.37,0.25,0.41,0.3,0.11,0.13,0.2,0.36,0.29,0.27,0.23,0.27,0.27,0.3,0.32,0.13,0.2,0,0.36,0,0.13,0.18,0,0.29,0.48,0.18,0.36,0,0.36,0.41,0.39,0.27,0.25,0.39,0.39,0.41,0.41,0.43,0.41,0.21,0.29,0.25,0.07,0.37,0.39,0.43,0.43,0.43,0.25,0,0.27,0.39,0.3,0.16,0.43,0.3,0.41,0.29,0.29,0.54,0.39,0.43,0.46,0.41,0.43,0.23,0.32,0.46,0.39,0.39,0.39,0.05,0.36,0.39,0.05,0.05,0.37,0.3,0.05,0.45,0.37,0,0,0,0,0.34,0.18,0.25,0.22,0.32,0.16,0.22,0.15,0.12,0.27,0.45,0.26,0.32,0.41,0,0,0.38,0.22,0.15,0.49,0,0.21,0.42,0.16,0.12,0,0.16,0.27
"Machinists",0.41,0.39,0.43,0.11,0.43,0.37,0.41,0.45,0.34,0.45,0.43,0.11,0.14,0.29,0.37,0.43,0.39,0.3,0.3,0.3,0.39,0.39,0.3,0.32,0.34,0.43,0.27,0.37,0.41,0.16,0.41,0.46,0.39,0.48,0.27,0.37,0.46,0.45,0.41,0.41,0.46,0.43,0.45,0.43,0.43,0.43,0.37,0.41,0.41,0.25,0.55,0.41,0.43,0.45,0.43,0.3,0.09,0.27,0.43,0.29,0.18,0.37,0.32,0.43,0.3,0.37,0.54,0.45,0.45,0.48,0.52,0.45,0.29,0.37,0.45,0.41,0.45,0.43,0.14,0.39,0.41,0.11,0.07,0.37,0.36,0.14,0.5,0.29,0,0,0,0,0.27,0,0.32,0.16,0.21,0,0,0,0.18,0.43,0.56,0.48,0.36,0.37,0,0,0.16,0,0,0.43,0,0.2,0.51,0.26,0,0,0,0.2
"Magnetic Resonance Imaging Technologists",0.55,0.37,0.55,0.32,0.54,0.46,0.43,0.52,0.43,0.55,0.45,0.13,0.21,0.32,0.43,0.43,0.43,0.41,0.43,0.43,0.45,0.43,0.41,0.43,0,0.41,0.11,0.3,0,0.13,0.37,0.45,0.13,0.41,0,0.41,0.45,0.46,0.43,0.43,0.52,0.52,0.43,0.52,0.43,0.48,0.39,0.37,0.36,0,0.43,0.54,0.55,0.57,0.57,0.37,0,0.16,0.25,0.25,0,0.3,0.25,0.3,0.25,0.32,0.45,0.41,0.39,0.45,0.43,0.43,0.16,0.29,0.39,0.45,0.39,0.45,0,0.37,0.43,0,0,0.29,0.41,0,0.55,0.56,0.13,0.3,0.26,0,0.41,0,0.73,0.38,0.46,0.27,0.29,0.23,0.14,0.43,0.38,0.19,0.59,0.51,0.36,0.52,0.46,0.35,0,0.33,0.16,0.47,0.45,0.52,0.34,0.52,0.61,0.19
"Maids and Housekeeping Cleaners",0.3,0.14,0.3,0,0.3,0.29,0.23,0.3,0.21,0.29,0.3,0.09,0.13,0.29,0.32,0.37,0.3,0.3,0.3,0.37,0.3,0.3,0.14,0.14,0,0.25,0,0,0,0,0.13,0.2,0,0.09,0,0.29,0.3,0.3,0.27,0.27,0.3,0.3,0.29,0.3,0.29,0.29,0.18,0.18,0.14,0,0.27,0.29,0.43,0.41,0.36,0.18,0.09,0.2,0.45,0.34,0,0.3,0.32,0.46,0.41,0.09,0.27,0.27,0.07,0.3,0.3,0.3,0.18,0.13,0.05,0.3,0.2,0.36,0,0.16,0.41,0,0,0.16,0.27,0,0.43,0.32,0,0.19,0.16,0,0.31,0.13,0.57,0.11,0.13,0.14,0.16,0.13,0,0,0.12,0,0.18,0.27,0.11,0.13,0.4,0.11,0.08,0.15,0,0.3,0.15,0,0.1,0,0.15,0.1
